,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率
0,603589.SH,口子窖,,20200319,36.76,4.0805,2.07,13.0754,-16.5%,37.0%,22.83,16.25~31.55,15.3~39.32,,1.5,0.76,42.07,28.94
1,000848.SZ,承德露露,,20200319,6.46,6.192,5.11,14.8506,-13.5%,57.0%,27.13,17.12~24.2,17.28~27.52,,1.25,0.33,70.23,30.68
2,002867.SZ,周大生,,20200319,18.09,2.3956,3.43,13.3689,-10.0%,44.0%,24.61,14.92~30.04,14.92~30.04,,1.25,0.62,51.89,29.15
3,600612.SH,老凤祥,,20200319,36.05,3.0513,2.75,13.3936,-9.0%,57.0%,23.18,15.12~21.78,14.43~25.13,,1.75,0.99,48.47,54.5
4,002841.SZ,视源股份,,20200319,78.8,0.6867,0.66,31.8083,-7.5%,60.0%,47.68,34.59~52.49,34.21~52.89,,1.5,0.52,31.16,51.7
5,600085.SH,同仁堂,长期,20200319,24.24,3.1353,0.99,29.2993,-7.5%,55.5%,13.25,31.31~50.05,32.2~54.98,,1.5,0.24,34.25,29.05
6,002304.SZ,洋河股份,,20200319,82.2,3.8929,2.81,16.8729,-2.0%,65.0%,24.56,17.76~26.54,17.02~25.06,,1.25,2.31,53.74,32.11
7,000538.SZ,云南白药,长期,20200319,75.1,2.1711,1.44,23.3057,0.0%,68.0%,20.69,23.92~34.52,22.82~33.64,,1.5,1.08,36.7,33.05
8,600690.SH,海尔智家,,20200319,14.55,2.3317,2.2,10.5359,1.5%,57.0%,22.35,10.73~18.43,10.11~18.21,,2.0,0.32,29.18,65.19
9,002508.SZ,老板电器,,20200319,25.35,3.1558,2.45,15.2059,1.5%,48.5%,29.02,13.6~30.14,16.67~32.05,,1.25,0.62,38.49,34.62
10,002415.SZ,海康威视,,20200319,29.03,2.0676,1.93,21.8814,4.5%,57.0%,34.45,22.3~39.4,19.78~36.78,,1.25,0.56,46.04,37.62
11,603833.SH,欧派家居,,20200319,91.64,0.8185,0.96,22.0049,6.0%,44.0%,25.68,20.64~49.46,20.64~49.46,,1.5,0.88,26.19,33.82
12,603360.SH,百傲化学,,20200319,25.5,1.5294,2.16,17.5799,6.0%,40.5%,20.34,17.26~40.96,15.83~44.43,,1.5,0.55,72.97,16.62
13,600600.SH,青岛啤酒,长期,20200319,37.68,1.2739,1.09,26.677,7.5%,55.0%,9.26,30.07~49.11,21.17~47.07,,1.5,0.41,39.45,43.66
14,603868.SH,飞科电器,,20200319,34.96,4.2906,4.78,20.1811,9.5%,51.0%,36.96,17.57~37.31,19.11~41.63,,1.25,1.67,99.21,27.78
15,603043.SH,广州酒家,,20200319,26.45,1.5123,1.44,25.9952,10.0%,74.0%,23.36,23.61~34.75,23.61~34.75,,1.5,0.38,41.82,19.83
16,601318.SH,中国平安,长期,20200319,67.81,2.7223,1.46,8.2967,13.0%,45.5%,18.61,7.54~18.08,7.12~17.7,,2.0,0.99,20.49,91.03
17,600036.SH,招商银行,长期,20200319,29.31,3.2071,2.63,7.9597,14.5%,67.0%,16.87,8.02~11.78,6.17~11.75,,2.0,0.77,28.87,92.84
18,603866.SH,桃李面包,,20200319,42.69,1.6732,1.55,41.1792,18.5%,83.5%,21.32,34.86~46.84,34.55~51.39,,1.5,0.66,62.25,12.23
19,002236.SZ,大华股份,,20200319,17.35,0.5744,0.81,16.5009,20.0%,43.5%,24.0,12.89~35.23,14.65~39.59,,1.5,0.14,15.73,44.85
20,600436.SH,片仔癀,长期,20200319,118.3,0.5072,0.42,51.9346,20.5%,78.0%,18.77,44.35~67.01,41.67~65.73,,1.5,0.5,31.67,20.83
21,603899.SH,晨光股份,长期,20200319,41.61,0.721,0.87,38.9034,20.5%,82.5%,25.61,32.65~45.27,31.74~48.58,,1.25,0.36,47.18,29.75
22,002032.SZ,苏泊尔,,20200319,64.64,1.9773,1.1,27.6456,21.0%,82.5%,26.54,25.52~33.84,20.58~32.6,,1.25,0.71,40.57,41.29
23,600887.SH,伊利股份,长期,20200319,27.84,2.5068,2.3,24.1681,21.0%,78.5%,24.67,21.13~31.19,18.87~30.09,,1.5,0.64,62.75,46.45
24,300630.SZ,普利制药,,20200319,58.0,0.2414,0.31,53.0851,26.0%,49.0%,20.87,42.07~106.25,42.07~106.25,,1.75,0.18,20.53,18.93
25,000333.SZ,美的集团,长期,20200319,48.6,2.5209,2.33,14.357,26.5%,68.5%,27.15,13.39~21.17,9.78~20.34,,1.5,1.13,42.68,61.92
26,603848.SH,好太太,,20200319,12.12,2.0627,1.65,19.4613,27.0%,41.0%,23.09,15.29~47.11,15.29~47.11,,1.5,0.2,34.34,20.7
27,300726.SZ,宏达电子,,20200319,26.53,0.9423,0.68,36.2287,29.0%,60.0%,16.81,28.0~60.2,28.0~60.2,,1.5,0.18,32.44,5.58
28,603369.SH,今世缘,,20200319,26.28,1.2557,1.18,23.2895,29.5%,79.0%,19.21,17.74~29.3,18.18~29.2,,1.5,0.31,32.12,25.48
29,002833.SZ,弘亚数控,,20200319,35.8,0.8313,0.7,15.5902,30.5%,36.5%,27.53,11.82~41.04,11.96~42.74,,1.5,0.25,14.1,16.99
30,000651.SZ,格力电器,长期,20200319,50.3,2.9821,3.86,11.1239,31.0%,71.5%,32.51,9.03~15.75,7.97~15.19,,1.5,1.94,58.48,69.5
31,603387.SH,基蛋生物,,20200319,31.68,0.9246,1.36,24.3747,34.0%,50.0%,23.11,18.07~48.03,18.07~48.03,,1.5,0.43,30.69,10.66
32,600885.SH,宏发股份,,20200319,28.24,1.0269,0.99,31.5678,38.5%,80.0%,17.78,22.51~38.63,22.92~39.94,,1.75,0.28,28.4,29.57
