,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率
0,600036.SH,招商银行,长期,20221031,26.82,5.6749,4.29,5.0769,-27.5,36.5,6.78~14.14,7.3~13.34,,1.75,1.15,31.07,91.57
1,002507.SZ,涪陵榨菜,长期,20221031,22.51,1.5549,1.29,21.3742,-22.5,41.0,29.31~52.43,26.25~50.29,,1.5,0.29,39.39,16.1
2,300529.SZ,健帆生物,,20221031,31.68,2.8019,2.15,21.1978,-22.5,24.0,25.28~90.34,30.24~82.34,,1.5,0.68,60.1,17.78
3,603866.SH,桃李面包,,20221031,11.26,3.8061,7.82,21.9186,-17.0,43.0,25.15~50.15,28.27~49.95,,1.5,0.88,78.95,16.76
4,002032.SZ,苏泊尔,,20221031,40.01,4.8201,2.62,16.0822,-14.5,42.5,17.78~38.18,20.34~37.4,,1.5,1.05,45.55,42.99
5,603387.SH,基蛋生物,,20221031,13.22,1.837,2.95,10.7951,-13.5,29.0,12.41~33.27,12.63~41.05,,1.5,0.39,30.7,18.17
6,000333.SZ,美的集团,长期,20221031,40.18,4.1544,3.68,9.5,-12.0,37.5,10.65~25.55,11.15~24.61,,1.75,1.48,43.94,65.34
7,600887.SH,伊利股份,长期,20221031,25.24,3.804,3.17,18.3092,-11.5,50.0,20.58~37.0,20.81~35.43,,1.75,0.8,69.39,51.14
8,603589.SH,口子窖,,20221031,40.5,3.6844,3.19,13.6635,-9.0,44.0,14.72~30.46,15.38~30.62,,1.5,1.29,51.89,28.32
9,603833.SH,欧派家居,,20221031,81.42,2.1493,1.42,19.5065,-8.5,43.0,21.95~43.45,20.88~45.38,,1.5,1.16,30.31,35.64
10,002841.SZ,视源股份,,20221031,65.06,1.3248,1.17,21.8785,-7.0,42.0,22.39~48.69,25.04~54.44,,1.75,0.76,34.38,47.02
11,603360.SH,百傲化学,,20221031,16.59,,3.44,10.0758,-6.5,38.5,11.63~21.47,9.99~32.05,,1.5,0.57,64.62,18.77
