,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,PE_TTM,距离买点,距离卖点,三年估值范围,五年估值范围,七年估值范围,数据修正
0,002507.SZ,涪陵榨菜,长期,20230221,26.9,1.3011,25.5428,-0.67%,49.67%,27.14~53.28,24.66~50.18,25.53~48.27,
1,300529.SZ,健帆生物,,20230221,33.29,2.6665,22.274,0.67%,24.67%,17.49~89.91,25.84~83.4,25.49~92.53,
2,300628.SZ,亿联网络,,20230221,66.33,1.207,27.4468,3.0%,48.67%,29.81~58.71,25.03~54.49,25.44~54.04,
3,002841.SZ,视源股份,,20230221,71.4,1.1981,24.1955,3.33%,47.33%,21.03~47.05,24.38~52.86,25.56~52.36,
4,603387.SH,基蛋生物,,20230221,13.4,1.8124,10.9421,3.67%,28.33%,9.84~33.26,10.99~38.75,11.0~42.98,
5,600036.SH,招商银行,长期,20230221,38.69,3.9338,7.0701,3.67%,53.67%,6.51~13.69,7.18~12.92,6.75~12.49,
6,300630.SZ,普利制药,,20230221,27.2,0.7032,24.6296,4.0%,30.0%,22.74~64.88,23.08~88.22,25.32~92.6,
7,300726.SZ,宏达电子,,20230221,47.2,1.2712,23.1707,5.67%,35.67%,20.04~64.84,22.59~62.81,23.16~63.26,
8,002916.SZ,深南电路,,20230221,82.92,1.1457,25.9973,10.33%,45.67%,20.64~54.98,25.03~56.67,25.06~57.2,
9,600887.SH,伊利股份,长期,20230221,31.49,3.0492,22.8414,12.33%,66.0%,20.73~35.97,21.09~33.99,19.08~33.5,
10,603707.SH,健友股份,,20230221,18.56,0.6217,26.758,13.67%,42.0%,23.0~64.6,23.37~62.49,23.96~61.68,
11,000848.SZ,承德露露,,20230221,9.03,,16.4815,13.67%,68.0%,13.62~23.72,14.48~23.54,15.33~25.05,
12,000333.SZ,美的集团,长期,20230221,53.54,3.117,12.6605,15.67%,53.33%,10.66~24.58,11.32~23.2,10.66~22.7,
13,603360.SH,百傲化学,,20230221,17.24,,10.4705,19.67%,37.67%,10.83~19.71,8.65~31.25,7.38~38.44,
14,000895.SZ,双汇发展,长期,20230221,26.71,7.106,16.8909,20.0%,63.0%,14.76~28.5,13.79~26.43,13.61~25.17,
15,603568.SH,伟明环保,,20230221,19.62,0.5097,20.9644,20.33%,59.0%,19.09~31.27,19.6~30.96,14.33~48.35,
16,002032.SZ,苏泊尔,,20230221,54.4,5.837,21.8663,21.0%,59.33%,16.15~36.97,19.19~37.53,18.94~35.68,
17,300638.SZ,广和通,,20230221,22.71,0.5775,39.4131,22.33%,51.0%,29.64~72.16,32.55~77.51,34.35~79.63,
18,603866.SH,桃李面包,,20230221,15.88,2.6988,32.6706,23.33%,65.0%,23.62~49.46,27.13~49.97,28.93~51.01,
19,600885.SH,宏发股份,,20230221,35.69,0.8586,30.7533,25.33%,59.0%,29.62~55.26,22.27~51.75,22.62~48.7,
20,600612.SH,老凤祥,,20230221,48.98,2.9604,14.7747,25.33%,72.33%,10.79~19.01,11.84~20.34,12.7~21.58,
21,002884.SZ,凌霄泵业,,20230221,17.54,5.7013,13.3349,27.33%,58.67%,12.06~22.04,10.07~21.49,9.48~24.48,
22,600298.SH,安琪酵母,长期,20230221,41.3,1.1601,30.2176,29.67%,72.0%,24.35~43.01,22.24~40.52,23.2~41.42,
23,002236.SZ,大华股份,,20230221,13.69,1.9471,15.5377,33.33%,63.33%,12.55~19.99,11.33~24.41,11.08~31.06,
24,600600.SH,青岛啤酒,长期,20230221,106.55,1.0326,38.1354,35.67%,65.0%,31.81~61.19,29.29~57.51,24.07~56.39,
25,300450.SZ,先导智能,,20230221,45.4,1.0996,31.656,36.67%,29.33%,31.55~116.53,18.07~102.51,23.33~100.99,
26,000049.SZ,德赛电池,,20230221,45.82,1.6418,15.1054,37.0%,54.0%,12.59~24.59,12.82~23.62,8.62~39.38,
27,002867.SZ,周大生,,20230221,15.6,3.175,14.8739,37.33%,59.0%,10.32~23.06,11.45~24.37,10.66~28.56,
28,601318.SH,中国平安,长期,20230221,50.01,4.7619,9.4791,38.67%,70.67%,6.51~11.87,7.02~13.42,6.94~14.96,
29,603043.SH,广州酒家,,20230221,28.23,1.4131,27.4817,42.67%,68.67%,18.06~41.46,19.58~38.94,20.15~38.85,
30,601155.SH,新城控股,,20230221,19.79,,4.4359,45.33%,45.33%,3.58~6.96,2.85~10.45,2.8~14.1,
31,000651.SZ,格力电器,长期,20230221,36.14,8.1614,7.9119,48.33%,39.67%,4.5~21.34,5.48~19.36,6.26~18.8,
32,603589.SH,口子窖,,20230221,67.45,2.2123,22.7557,48.67%,73.67%,14.67~30.51,14.96~29.72,16.3~31.9,
33,603899.SH,晨光股份,长期,20230221,56.66,1.0599,39.3129,48.67%,63.33%,25.75~66.87,27.41~61.09,25.96~57.34,
34,600085.SH,同仁堂,长期,20230221,48.62,0.5965,50.892,49.0%,97.33%,35.75~52.73,32.26~51.6,34.29~51.59,
35,002833.SZ,弘亚数控,,20230221,16.63,2.2335,14.8376,50.33%,43.33%,9.24~32.64,10.62~31.18,9.74~38.94,
36,600519.SH,贵州茅台,长期,20230221,1867.0,2.3345,39.3551,52.67%,72.33%,34.2~57.02,25.19~54.29,21.0~51.74,
37,603833.SH,欧派家居,,20230221,138.98,1.2592,33.2966,55.33%,74.33%,22.22~43.5,20.63~43.51,21.27~46.83,
38,300482.SZ,万孚生物,,20230221,34.17,0.8742,12.1799,55.67%,16.33%,4.15~68.07,12.55~66.99,16.09~82.19,
39,603288.SH,海天味业,长期,20230221,80.6,0.8572,56.331,57.0%,63.0%,46.83~95.57,39.64~87.78,26.83~83.93,
40,002508.SZ,老板电器,,20230221,32.25,1.5423,25.0299,64.67%,94.33%,16.66~24.88,14.64~24.6,14.36~30.38,
41,300015.SZ,爱尔眼科,长期,20230221,32.2,0.2807,86.3251,66.0%,53.33%,64.81~176.41,54.61~158.03,41.67~147.01,
42,002415.SZ,海康威视,,20230221,38.76,2.3392,28.2951,66.33%,70.67%,16.21~40.51,17.43~39.15,17.31~39.81,
43,000538.SZ,云南白药,长期,20230221,57.8,1.9766,39.0742,67.33%,104.33%,23.94~38.32,23.12~36.98,22.94~36.46,
44,002304.SZ,洋河股份,,20230221,174.7,1.7166,28.1062,67.33%,72.33%,20.48~41.54,15.94~38.42,14.83~36.15,
45,300595.SZ,欧普康视,,20230221,35.32,0.3935,51.2228,78.33%,35.33%,40.97~159.17,26.7~139.72,23.31~132.07,
46,603369.SH,今世缘,,20230221,63.1,0.9293,32.8216,78.67%,77.0%,21.91~45.63,17.78~42.18,16.13~39.41,
47,300357.SZ,我武生物,,20230221,53.69,0.3744,71.9667,79.0%,59.0%,55.41~131.81,41.95~120.73,30.36~112.24,
48,002271.SZ,东方雨虹,,20230221,36.77,0.8126,29.1056,79.0%,74.0%,20.95~41.41,14.24~38.88,14.85~37.03,
49,000661.SZ,长春高新,长期,20230221,201.2,0.3952,19.9833,83.33%,26.33%,6.55~78.93,14.63~74.53,18.32~69.6,
50,000858.SZ,五粮液,长期,20230221,210.08,1.439,31.3165,83.33%,61.0%,21.03~55.75,16.87~50.55,14.4~47.3,
51,600276.SH,恒瑞医药,长期,20230221,44.5,0.3595,81.1878,92.67%,88.67%,40.87~94.23,46.39~91.45,39.6~87.56,
52,603444.SH,吉比特,,20230221,369.01,8.1298,20.8041,92.67%,53.33%,11.21~41.15,10.05~36.87,11.15~37.93,
53,600436.SH,片仔癀,长期,20230221,317.81,0.3807,77.6577,96.33%,67.0%,52.51~126.49,37.65~114.81,32.82~105.96,
54,002901.SZ,大博医疗,,20230221,36.06,1.3866,34.8028,96.33%,48.67%,14.69~73.99,19.25~68.33,20.07~69.73,
55,603605.SH,珀莱雅,,20230221,187.01,0.326,74.9798,98.67%,85.33%,60.18~86.64,33.43~87.71,30.16~87.48,
56,603848.SH,好太太,,20230221,16.31,1.5328,25.7369,101.0%,83.33%,15.56~23.64,12.98~33.74,10.69~38.67,
57,603868.SH,飞科电器,,20230221,83.0,1.2048,41.0894,107.67%,96.67%,22.96~42.9,17.52~40.26,19.39~43.79,
58,600690.SH,海尔智家,,20230221,27.6,1.6494,17.619,118.67%,58.33%,9.56~33.58,7.48~29.48,7.42~27.16,
59,600809.SH,山西汾酒,长期,20230221,292.27,0.6159,47.2737,119.33%,50.33%,33.34~103.54,18.8~92.5,17.72~84.92,
60,603638.SH,艾迪精密,,20230221,21.23,0.5662,72.8217,150.67%,93.0%,38.23~80.67,26.49~74.45,25.23~79.09,
61,600763.SH,通策医疗,,20230221,159.05,,85.297,215.0%,50.67%,42.95~189.97,28.28~164.82,19.09~149.43,
62,603180.SH,金牌厨柜,,20230221,39.77,2.6675,17.8127,297.0%,52.0%,11.41~24.03,4.5~38.64,2.78~48.84,
63,600309.SH,万华化学,长期,20230221,106.8,2.3408,20.6489,421.67%,63.0%,4.57~36.23,3.02~31.74,4.79~30.11,
64,300571.SZ,平治信息,,20230221,37.43,0.2939,28.0457,469.33%,62.0%,17.25~30.99,10.77~47.15,2.18~74.86,
