证券简称,ts_code,trade_date,close,pe_ttm,ps_ttm,dv_ttm,total_share,total_mv
美的集团,000333.SZ,20230328,51.09,12.0812,1.0206,3.2665,699669.5896,35746119.3327
美的集团,000333.SZ,20230327,51.85,12.2609,1.0357,3.2186,699669.5896,36277868.2208
美的集团,000333.SZ,20230324,52.09,12.3176,1.0405,3.2038,699669.5896,36445788.9223
美的集团,000333.SZ,20230323,51.82,12.2538,1.0351,3.2205,699669.5896,36256878.1331
美的集团,000333.SZ,20230322,51.7,12.2254,1.0328,3.228,699669.5896,36172917.7823
美的集团,000333.SZ,20230321,52.1,12.32,1.0407,3.2032,699669.5896,36452785.6182
美的集团,000333.SZ,20230320,50.44,11.9275,1.0076,3.3086,699669.5896,35291334.0994
美的集团,000333.SZ,20230317,50.33,11.9014,1.0054,3.3158,699669.5896,35214370.4446
美的集团,000333.SZ,20230316,50.04,11.8329,0.9996,3.3351,699669.5896,35011466.2636
美的集团,000333.SZ,20230315,50.46,11.9322,1.008,3.3073,699669.5896,35305327.4912
美的集团,000333.SZ,20230314,51.15,12.0953,1.0218,3.2627,699669.5896,35788099.508
美的集团,000333.SZ,20230313,52.06,12.3105,1.0399,3.2057,699669.5896,36424798.8346
美的集团,000333.SZ,20230310,51.15,12.0953,1.0218,3.2627,699669.5896,35788099.508
美的集团,000333.SZ,20230309,52.7,12.4619,1.0527,3.1667,699669.5896,36872587.3719
美的集团,000333.SZ,20230308,52.29,12.3649,1.0445,3.1916,699669.5896,36585722.8402
美的集团,000333.SZ,20230307,52.86,12.4997,1.0559,3.1571,699669.5896,36984534.5063
美的集团,000333.SZ,20230306,53.83,12.7291,1.0753,3.1003,699669.5896,37663214.0082
美的集团,000333.SZ,20230303,55.2,13.053,1.1027,3.0233,699669.5896,38621761.3459
美的集团,000333.SZ,20230302,54.85,12.9703,1.0957,3.0426,699669.5896,38376876.9896
美的集团,000333.SZ,20230301,54.62,12.9159,1.0911,3.0554,699669.5896,38215952.984
美的集团,000333.SZ,20230228,52.46,12.4051,1.0479,3.1812,699669.5896,36704666.6704
美的集团,000333.SZ,20230227,52.4,12.3909,1.0467,3.1849,699669.5896,36662686.495
美的集团,000333.SZ,20230224,52.98,12.5281,1.0583,3.15,699669.5896,37068494.857
美的集团,000333.SZ,20230223,53.37,12.6203,1.0661,3.127,699669.5896,37341365.997
美的集团,000333.SZ,20230222,52.78,12.4808,1.0543,3.1619,699669.5896,36928560.9391
美的集团,000333.SZ,20230221,53.54,12.6605,1.0695,3.117,699669.5896,37460309.8272
美的集团,000333.SZ,20230220,53.3,12.6038,1.0647,3.1311,699669.5896,37292389.1257
美的集团,000333.SZ,20230217,51.38,12.1497,1.0264,3.2481,699669.5896,35949023.5136
美的集团,000333.SZ,20230216,51.28,12.1261,1.0244,3.2544,699669.5896,35879056.5547
美的集团,000333.SZ,20230215,51.35,12.1426,1.0258,3.25,699669.5896,35928033.426
美的集团,000333.SZ,20230214,52.21,12.346,1.0429,3.1964,699669.5896,36529749.273
美的集团,000333.SZ,20230213,52.44,12.4004,1.0475,3.1824,699669.5896,36690673.2786
美的集团,000333.SZ,20230210,51.62,12.2065,1.0312,3.233,699669.5896,36116944.2152
美的集团,000333.SZ,20230209,51.53,12.1852,1.0294,3.2386,699669.5896,36053973.9521
美的集团,000333.SZ,20230208,51.01,12.0622,1.019,3.2716,699669.5896,35690145.7655
美的集团,000333.SZ,20230207,51.5,12.1781,1.0288,3.2405,699669.5896,36032983.8644
美的集团,000333.SZ,20230206,51.25,12.119,1.0238,3.2563,699669.5896,35858066.467
美的集团,000333.SZ,20230203,53.31,12.6061,1.0649,3.1305,699669.5896,37299385.8216
美的集团,000333.SZ,20230202,53.96,12.7598,1.0779,3.0928,699669.5896,37754171.0548
美的集团,000333.SZ,20230201,55.5,13.124,1.1087,3.007,699669.5896,38831662.2228
美的集团,000333.SZ,20230131,55.2,13.053,1.1027,3.0233,699669.5896,38621761.3459
美的集团,000333.SZ,20230130,55.65,13.1595,1.1117,2.9989,699669.5896,38936612.6612
美的集团,000333.SZ,20230120,57.08,13.4976,1.1402,2.9237,699669.5896,39937140.1744
美的集团,000333.SZ,20230119,57.38,13.5685,1.1462,2.9084,699669.5896,40147041.0512
美的集团,000333.SZ,20230118,57.6,13.6206,1.1506,2.8973,699669.5896,40300968.361
美的集团,000333.SZ,20230117,58.0,13.7152,1.1586,2.8774,699669.5896,40580836.1968
美的集团,000333.SZ,20230116,57.7,13.6442,1.1526,2.8923,699669.5896,40370935.3199
美的集团,000333.SZ,20230113,55.95,13.2304,1.1176,2.9828,699669.5896,39146513.5381
美的集团,000333.SZ,20230112,54.77,12.9514,1.0941,3.047,699669.5896,38320903.4224
美的集团,000333.SZ,20230111,54.5,12.8875,1.0887,3.0621,699669.5896,38131992.6332
美的集团,000333.SZ,20230110,53.5,12.651,1.0687,3.1194,699669.5896,37432323.0436
美的集团,000333.SZ,20230109,54.11,12.7953,1.0809,3.0842,699669.5896,37859121.4933
美的集团,000333.SZ,20230106,54.01,12.7716,1.0789,3.0902,699669.5896,37789154.5343
美的集团,000333.SZ,20230105,54.91,12.9845,1.0969,3.0395,699669.5896,38418857.1649
美的集团,000333.SZ,20230104,53.75,12.7102,1.0737,3.1051,699669.5896,37607240.441
美的集团,000333.SZ,20230103,51.88,12.268,1.0363,3.217,699669.5896,36298858.3084
美的集团,000333.SZ,20221230,51.8,12.2491,1.0347,3.222,699669.5896,36242884.7413
美的集团,000333.SZ,20221229,51.73,12.2325,1.0333,3.2264,699669.5896,36193907.87
美的集团,000333.SZ,20221228,52.05,12.3082,1.0397,3.2065,699669.5896,36417802.1387
美的集团,000333.SZ,20221227,52.94,12.5186,1.0575,3.1526,699669.5896,37040508.0734
美的集团,000333.SZ,20221226,51.5,12.1781,1.0288,3.2408,699669.5896,36032983.8644
美的集团,000333.SZ,20221223,52.38,12.3862,1.0463,3.1863,699669.5896,36648693.1032
美的集团,000333.SZ,20221222,52.2,12.3436,1.0427,3.1973,699669.5896,36522752.5771
美的集团,000333.SZ,20221221,51.68,12.2207,1.0324,3.2295,699669.5896,36158924.3905
美的集团,000333.SZ,20221220,51.57,12.1947,1.0302,3.2364,699669.5896,36081960.7357
美的集团,000333.SZ,20221219,53.68,12.6936,1.0723,3.1092,699669.5896,37558263.5697
美的集团,000333.SZ,20221216,54.0,12.7676,1.0785,3.0912,699574.9087,37777045.0698
美的集团,000333.SZ,20221215,53.63,12.6801,1.0712,3.1125,699574.9087,37518202.3536
美的集团,000333.SZ,20221214,54.89,12.978,1.0963,3.041,699574.9087,38399666.7385
美的集团,000333.SZ,20221213,53.95,12.7557,1.0776,3.094,699574.9087,37742066.3244
美的集团,000333.SZ,20221212,54.43,12.8692,1.0871,3.0667,699574.9087,38077862.2805
美的集团,000333.SZ,20221209,54.3,12.8385,1.0845,3.0741,699574.9087,37986917.5424
美的集团,000333.SZ,20221208,51.75,12.2356,1.0336,3.2256,699574.9087,36203001.5252
美的集团,000333.SZ,20221207,51.25,12.1174,1.0236,3.257,699574.9087,35853214.0709
美的集团,000333.SZ,20221206,50.0,11.8218,0.9987,3.3385,699574.9087,34978745.435
美的集团,000333.SZ,20221205,49.7,11.7509,0.9927,3.3586,699574.9087,34768872.9624
美的集团,000333.SZ,20221202,48.04,11.3584,0.9595,3.4747,699574.9087,33607578.6139
美的集团,000333.SZ,20221201,48.31,11.4222,0.9649,3.4552,699574.9087,33796463.8393
美的集团,000333.SZ,20221130,47.87,11.3182,0.9561,3.487,699574.9087,33488650.8795
美的集团,000333.SZ,20221129,48.42,11.4482,0.9671,3.4474,699574.9087,33873417.0793
美的集团,000333.SZ,20221128,46.29,10.9446,0.9246,3.606,699574.9087,32383322.5237
美的集团,000333.SZ,20221125,46.69,11.0392,0.9325,3.5751,699574.9087,32663152.4872
美的集团,000333.SZ,20221124,45.91,10.8548,0.917,3.6359,699574.9087,32117484.0584
美的集团,000333.SZ,20221123,46.28,10.9423,0.9244,3.6068,699574.9087,32376326.7746
美的集团,000333.SZ,20221122,46.3,10.947,0.9248,3.6052,699574.9087,32390318.2728
美的集团,000333.SZ,20221121,46.34,10.9565,0.9256,3.6021,699574.9087,32418301.2692
美的集团,000333.SZ,20221118,47.97,11.3418,0.9581,3.4797,699574.9087,33558608.3703
美的集团,000333.SZ,20221117,47.96,11.3395,0.9579,3.4805,699574.9087,33551612.6213
美的集团,000333.SZ,20221116,48.46,11.4577,0.9679,3.4446,699574.9087,33901400.0756
美的集团,000333.SZ,20221115,49.07,11.6019,0.9801,3.4017,699574.9087,34328140.7699
美的集团,000333.SZ,20221114,47.8,11.3016,0.9547,3.4921,699574.9087,33439680.6359
美的集团,000333.SZ,20221111,45.63,10.7886,0.9114,3.6582,699574.9087,31921603.084
美的集团,000333.SZ,20221110,42.97,10.1597,0.8582,3.8846,699574.9087,30060733.8268
美的集团,000333.SZ,20221109,43.04,10.1762,0.8596,3.8783,699574.9087,30109704.0704
美的集团,000333.SZ,20221108,43.0,10.1668,0.8588,3.8819,699574.9087,30081721.0741
美的集团,000333.SZ,20221107,43.06,10.1809,0.86,3.8765,699574.9087,30123695.5686
美的集团,000333.SZ,20221104,43.09,10.188,0.8606,3.8738,699574.9087,30144682.8159
美的集团,000333.SZ,20221103,41.58,9.831,0.8305,4.0145,699574.9087,29088324.7037
美的集团,000333.SZ,20221102,42.08,9.9492,0.8405,3.9668,699574.9087,29438112.1581
美的集团,000333.SZ,20221101,41.6,9.8357,0.8309,4.0126,699574.9087,29102316.2019
美的集团,000333.SZ,20221031,40.18,9.5,0.8025,4.1544,699574.9087,28108919.8316
美的集团,000333.SZ,20221028,40.76,9.6463,0.8145,4.0953,699574.9087,28514673.2786
美的集团,000333.SZ,20221027,42.58,10.0771,0.8509,3.9202,699574.9087,29787899.6124
美的集团,000333.SZ,20221026,42.46,10.0487,0.8485,3.9313,699574.9087,29703950.6234
