证券简称,ts_code,trade_date,close,pe_ttm,ps_ttm,dv_ttm,total_share,total_mv
基蛋生物,603387.SH,20230323,13.74,11.2197,3.753,1.7675,50715.3517,696828.9324
基蛋生物,603387.SH,20230322,13.66,11.1544,3.7312,1.7779,50715.3517,692771.7042
基蛋生物,603387.SH,20230321,13.55,11.0646,3.7011,1.7923,50715.3517,687193.0155
基蛋生物,603387.SH,20230320,13.27,10.8359,3.6246,1.8301,50715.3517,672992.7171
基蛋生物,603387.SH,20230317,13.51,11.0319,3.6902,1.7976,50715.3517,685164.4015
基蛋生物,603387.SH,20230316,13.6,11.1054,3.7148,1.7857,50715.3517,689728.7831
基蛋生物,603387.SH,20230315,13.58,11.0891,3.7093,1.7883,50715.3517,688714.4761
基蛋生物,603387.SH,20230314,13.45,10.9829,3.6738,1.8056,50715.3517,682121.4804
基蛋生物,603387.SH,20230313,13.82,11.285,3.7749,1.7573,50715.3517,700886.1605
基蛋生物,603387.SH,20230310,13.71,11.1952,3.7448,1.7714,50715.3517,695307.4718
基蛋生物,603387.SH,20230309,13.73,11.2115,3.7503,1.7688,50715.3517,696321.7788
基蛋生物,603387.SH,20230308,14.13,11.5382,3.8596,1.7187,50715.3517,716607.9195
基蛋生物,603387.SH,20230307,13.08,10.6808,3.5727,1.8567,50715.3517,663356.8002
基蛋生物,603387.SH,20230306,13.36,10.9094,3.6492,1.8178,50715.3517,677557.0987
基蛋生物,603387.SH,20230303,13.27,10.8359,3.6246,1.8301,50715.3517,672992.7171
基蛋生物,603387.SH,20230302,13.37,10.9176,3.652,1.8164,50715.3517,678064.2522
基蛋生物,603387.SH,20230301,13.45,10.9829,3.6738,1.8056,50715.3517,682121.4804
基蛋生物,603387.SH,20230228,13.47,10.9992,3.6793,1.8029,50715.3517,683135.7874
基蛋生物,603387.SH,20230227,13.15,10.7379,3.5919,1.8468,50715.3517,666906.8749
基蛋生物,603387.SH,20230224,13.32,10.8767,3.6383,1.8233,50715.3517,675528.4846
基蛋生物,603387.SH,20230223,13.41,10.9502,3.6629,1.811,50715.3517,680092.8663
基蛋生物,603387.SH,20230222,13.45,10.9829,3.6738,1.8056,50715.3517,682121.4804
基蛋生物,603387.SH,20230221,13.4,10.9421,3.6602,1.8124,50715.3517,679585.7128
基蛋生物,603387.SH,20230220,13.38,10.9257,3.6547,1.8151,50715.3517,678571.4057
基蛋生物,603387.SH,20230217,13.17,10.7543,3.5973,1.844,50715.3517,667921.1819
基蛋生物,603387.SH,20230216,13.14,10.7298,3.5891,1.8482,50715.3517,666399.7213
基蛋生物,603387.SH,20230215,13.4,10.9421,3.6602,1.8124,50715.3517,679585.7128
基蛋生物,603387.SH,20230214,13.46,10.9911,3.6765,1.8043,50715.3517,682628.6339
基蛋生物,603387.SH,20230213,13.38,10.9257,3.6547,1.8151,50715.3517,678571.4057
基蛋生物,603387.SH,20230210,13.36,10.9094,3.6492,1.8178,50715.3517,677557.0987
基蛋生物,603387.SH,20230209,13.41,10.9502,3.6629,1.811,50715.3517,680092.8663
基蛋生物,603387.SH,20230208,13.3,10.8604,3.6328,1.826,50715.3517,674514.1776
基蛋生物,603387.SH,20230207,13.4,10.9421,3.6602,1.8124,50715.3517,679585.7128
基蛋生物,603387.SH,20230206,13.46,10.9911,3.6765,1.8043,50715.3517,682628.6339
基蛋生物,603387.SH,20230203,13.22,10.7951,3.611,1.837,50715.3517,670456.9495
基蛋生物,603387.SH,20230202,13.27,10.8359,3.6246,1.8301,50715.3517,672992.7171
基蛋生物,603387.SH,20230201,13.18,10.7624,3.6001,1.8426,50715.3517,668428.3354
基蛋生物,603387.SH,20230131,12.99,10.6073,3.5482,1.8696,50715.3517,658792.4186
基蛋生物,603387.SH,20230130,13.09,10.6889,3.5755,1.8553,50715.3517,663863.9538
基蛋生物,603387.SH,20230120,13.16,10.7461,3.5946,1.8454,50715.3517,667414.0284
基蛋生物,603387.SH,20230119,13.01,10.6236,3.5536,1.8667,50715.3517,659806.7256
基蛋生物,603387.SH,20230118,12.88,10.5175,3.5181,1.8855,50715.3517,653213.7299
