,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率
0,603360.SH,百傲化学,,20200519,19.15,3.6927,2.92,13.7182,-12.5%,33.5%,23.62,16.97~37.77,14.73~44.15,,1.5,0.56,63.85,15.74
1,002841.SZ,视源股份,,20200519,80.2,,0.72,33.1949,0.0%,62.5%,45.43,33.43~52.43,33.14~52.84,,1.5,0.58,31.0,51.19
2,000538.SZ,云南白药,长期,20200519,87.62,1.8609,1.8,24.229,5.0%,71.0%,18.63,23.51~34.41,22.64~33.58,,1.5,1.58,51.09,31.53
3,000848.SZ,承德露露,,20200519,7.31,2.4873,4.65,18.5159,10.5%,72.5%,24.25,16.51~23.95,16.88~26.98,,1.25,0.34,74.91,32.08
4,002415.SZ,海康威视,,20200519,30.35,1.9777,2.04,22.9194,11.0%,60.0%,33.3,21.72~39.36,19.56~36.66,,1.25,0.62,49.93,39.53
5,002867.SZ,周大生,,20200519,20.05,2.1614,2.89,16.3184,12.5%,55.5%,24.18,14.63~28.61,14.29~29.77,,1.25,0.58,47.04,26.84
6,600612.SH,老凤祥,,20200519,45.23,2.432,2.32,16.8294,15.5%,72.5%,22.28,14.68~21.74,14.36~24.46,,1.75,1.05,48.64,52.79
7,600036.SH,招商银行,长期,20200519,34.27,2.7429,2.57,9.0575,21.5%,79.0%,16.24,8.53~11.41,6.58~11.4,,1.75,0.88,30.17,92.51
8,603866.SH,桃李面包,,20200519,50.1,,1.46,43.6278,25.0%,88.0%,20.87,34.84~47.18,34.73~51.41,,1.5,0.73,69.05,15.35
9,600085.SH,同仁堂,长期,20200519,25.37,2.9957,1.38,39.7511,27.0%,76.5%,12.48,30.66~49.56,31.8~54.08,,1.5,0.35,47.24,28.4
10,002304.SZ,洋河股份,,20200519,104.31,3.0678,2.43,21.3456,30.0%,79.5%,23.91,16.6~27.4,16.1~25.82,,1.5,2.53,56.87,32.17
11,603589.SH,口子窖,,20200519,46.49,3.2265,1.96,19.6637,30.5%,56.0%,23.48,15.25~31.47,14.71~39.15,,1.5,0.91,44.12,28.4
12,002508.SZ,老板电器,,20200519,31.07,2.5748,2.03,19.4606,32.5%,63.5%,28.86,13.3~29.06,16.27~31.75,,1.25,0.63,39.15,35.21
13,603868.SH,飞科电器,,20200519,36.2,,4.14,24.1944,35.0%,62.0%,34.28,16.99~36.51,18.81~41.27,,1.25,1.5,90.28,28.04
14,603387.SH,基蛋生物,,20200519,28.81,2.4051,1.46,25.1798,40.0%,53.0%,23.03,17.9~47.42,17.9~47.42,,1.5,0.42,30.68,12.52
15,600690.SH,海尔智家,,20200519,15.42,2.2001,2.01,14.209,40.5%,77.0%,20.61,10.28~18.46,9.9~18.1,,2.0,0.31,29.49,66.02
16,601318.SH,中国平安,长期,20200519,72.9,4.304,1.7,10.2547,41.5%,58.0%,21.53,7.26~18.18,7.21~17.01,,2.0,1.24,21.13,90.38
17,603833.SH,欧派家居,,20200519,111.4,0.6733,0.85,28.439,42.0%,58.0%,24.28,19.83~48.35,20.14~48.98,,1.5,0.95,25.7,34.37
18,300726.SZ,宏达电子,,20200519,27.76,1.9813,0.79,39.8004,43.0%,66.0%,17.11,27.67~59.45,27.67~59.45,,1.5,0.22,35.28,6.71
19,002032.SZ,苏泊尔,,20200519,69.7,1.8338,1.09,33.4365,43.5%,99.5%,29.45,26.09~33.87,20.9~32.82,,1.25,0.76,37.11,43.34
20,603899.SH,晨光股份,长期,20200519,53.13,,0.64,47.3758,44.5%,101.0%,24.81,33.51~45.85,32.01~47.73,,1.25,0.34,41.25,32.54
21,603848.SH,好太太,,20200519,13.12,1.9055,1.68,21.1803,45.0%,45.0%,22.16,14.52~46.4,14.52~46.4,,1.5,0.22,34.85,21.89
22,600436.SH,片仔癀,长期,20200519,149.41,0.4016,0.33,62.6932,45.0%,94.0%,20.25,44.44~67.22,41.91~65.93,,1.5,0.49,34.29,21.38
