,证券代码,证券简称,上市年份,日期,收盘价,股息率,PE_TTM,距离买点%,距离卖点%,标准差倍数,买入日期,买入价格,买入PE,盈亏%
0,600036.SH,招商银行,2002,20221028,27.18,5.5997,5.3473,-18.0%,37.0%,2.0,,,,
1,002032.SZ,苏泊尔,2004,20221028,40.85,4.7209,16.4198,-13.0%,42.5%,1.5,,,,
2,000333.SZ,美的集团,2013,20221028,40.76,4.0953,9.6463,-11.0%,38.0%,1.75,,,,
3,600887.SH,伊利股份,1996,20221028,25.88,3.7099,18.7735,-8.5%,51.5%,1.75,,,,
4,002507.SZ,涪陵榨菜,2010,20221028,23.38,1.497,23.5276,-8.5%,43.5%,1.75,20230203.0,26.743,25.28,-12.58
5,002415.SZ,海康威视,2010,20221028,28.4,3.169,16.6625,-4.5%,40.5%,1.5,,,,
6,603866.SH,桃李面包,2015,20221028,11.33,3.7826,22.0548,-3.0%,40.5%,2.0,,,,
7,000895.SZ,双汇发展,1998,20221028,23.12,8.2093,14.6206,-2.0%,53.0%,1.5,20230208.0,25.173,15.86,-8.16
8,600519.SH,贵州茅台,2001,20221028,1360.0,1.5938,28.6679,-1.0%,51.0%,1.5,,,,
9,300628.SZ,亿联网络,2017,20221028,66.44,1.205,27.4924,1.0%,47.0%,1.75,,,,
10,000848.SZ,承德露露,1997,20221028,7.59,,13.8533,2.0%,55.5%,1.75,,,,
11,002841.SZ,视源股份,2017,20221028,66.12,1.3035,22.235,2.5%,41.0%,2.0,20230209.0,64.33,21.91,2.78
12,603589.SH,口子窖,2015,20221028,40.7,3.6663,13.731,9.5%,41.0%,2.0,,,,
13,002508.SZ,老板电器,2010,20221028,21.09,2.3585,16.3684,9.5%,63.0%,1.5,,,,
14,300529.SZ,健帆生物,2016,20221028,39.6,2.2415,26.4973,17.0%,28.5%,1.75,20230202.0,34.897,23.21,13.48
15,603387.SH,基蛋生物,2017,20221028,13.1,1.8539,10.6971,26.5%,26.0%,2.0,20230217.0,13.253,10.88,-1.15
16,603338.SH,浙江鼎力,2015,20221028,42.13,0.807,22.4132,28.5%,32.0%,2.25,20230130.0,51.596,,-18.35
17,600276.SH,恒瑞医药,2000,20221028,38.95,0.4107,62.397,78.0%,61.0%,2.0,20210810.0,57.559,56.74,-32.33
