,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,PE_TTM,距离买点,距离卖点,三年估值范围,五年估值范围,七年估值范围,数据修正
0,002841.SZ,视源股份,,20230214,66.87,1.2793,22.6604,-4.0%,44.33%,21.18~47.08,24.5~52.86,25.66~52.38,
1,300628.SZ,亿联网络,,20230214,64.2,1.2471,26.5655,-0.33%,47.33%,30.08~58.74,25.05~54.51,25.49~54.07,
2,002507.SZ,涪陵榨菜,长期,20230214,27.43,1.276,26.046,0.67%,50.67%,27.28~53.24,24.73~50.21,25.59~48.27,
3,600036.SH,招商银行,长期,20230214,38.0,4.0053,6.944,2.0%,52.67%,6.54~13.68,7.21~12.93,6.74~12.5,
4,300630.SZ,普利制药,,20230214,27.05,0.7071,24.4938,2.33%,30.0%,22.99~65.21,23.31~88.41,25.52~92.64,
5,603387.SH,基蛋生物,,20230214,13.46,1.8043,10.9911,3.0%,28.33%,10.0~33.34,11.1~38.82,11.09~43.01,
6,300529.SZ,健帆生物,,20230214,34.76,2.5537,23.2575,3.33%,25.67%,17.96~90.06,26.08~83.36,25.7~92.56,
7,300726.SZ,宏达电子,,20230214,47.82,1.2547,23.4751,6.0%,36.67%,20.3~64.84,22.74~62.82,23.28~63.28,
8,600887.SH,伊利股份,长期,20230214,31.63,3.0355,22.9445,12.67%,66.0%,20.78~35.96,21.13~34.03,19.05~33.51,
9,002916.SZ,深南电路,,20230214,84.39,1.1257,26.4582,13.0%,46.33%,20.51~55.73,25.15~56.71,25.15~57.23,
10,000333.SZ,美的集团,长期,20230214,52.21,3.1964,12.346,13.0%,52.33%,10.71~24.57,11.37~23.23,10.63~22.71,
11,000848.SZ,承德露露,,20230214,9.32,,17.0108,17.0%,70.0%,13.62~23.72,14.49~23.57,15.35~25.05,
12,000895.SZ,双汇发展,长期,20230214,26.18,7.2498,16.5557,17.0%,61.67%,14.82~28.52,13.81~26.45,13.59~25.17,
13,002032.SZ,苏泊尔,,20230214,53.0,5.9911,21.3036,17.67%,57.33%,16.22~37.06,19.24~37.54,18.93~35.69,
14,603707.SH,健友股份,,20230214,19.51,0.5914,28.1276,19.0%,44.33%,23.15~65.03,23.46~62.5,24.03~61.71,
15,300638.SZ,广和通,,20230214,22.45,0.5842,38.9618,21.0%,50.33%,29.7~72.6,32.65~77.55,34.42~79.68,
16,603360.SH,百傲化学,,20230214,17.59,,10.6831,21.33%,38.0%,10.86~19.86,8.72~31.28,7.43~38.47,
17,603568.SH,伟明环保,,20230214,20.17,0.4958,21.5521,23.67%,60.33%,19.14~31.34,19.61~31.01,14.28~48.64,
18,600612.SH,老凤祥,,20230214,49.7,2.9175,14.9919,27.0%,73.33%,10.8~19.06,11.86~20.36,12.71~21.59,
19,600885.SH,宏发股份,,20230214,36.4,0.8418,31.3651,28.0%,60.0%,29.77~55.25,22.29~51.77,22.56~48.7,
20,002884.SZ,凌霄泵业,,20230214,17.77,5.6275,13.5097,29.33%,59.33%,12.05~22.05,10.07~21.53,9.49~24.51,
21,002236.SZ,大华股份,,20230214,13.45,1.9819,15.2653,31.33%,62.0%,12.51~20.13,11.27~24.57,11.09~31.13,
22,603866.SH,桃李面包,,20230214,17.09,2.5077,35.16,32.67%,69.67%,23.66~49.5,27.16~49.98,28.96~51.08,
23,600298.SH,安琪酵母,长期,20230214,42.66,1.1231,31.2127,34.33%,74.0%,24.31~43.01,22.24~40.54,23.12~41.64,
