,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
0,300529.SZ,健帆生物,,20230224,32.35,2.744,2.1,21.645,-17.5%,26.0%,30.4,23.22~83.76,30.51~78.63,,1.25,0.68,60.1,17.78,20230202.0,34.897,23.21
1,300628.SZ,亿联网络,,20230224,66.03,1.2125,1.56,27.3227,-7.0%,50.0%,28.96,32.05~56.27,27.49~52.05,,1.25,1.03,43.03,8.28,,,
2,002507.SZ,涪陵榨菜,长期,20230224,26.62,1.3148,1.09,25.2769,-2.0%,48.5%,21.59,27.04~53.32,24.61~50.17,,1.5,0.29,39.39,16.1,20230203.0,26.743,25.28
3,603387.SH,基蛋生物,,20230224,13.32,1.8233,2.93,10.8767,5.5%,30.0%,21.38,9.73~33.21,10.92~38.66,,1.5,0.39,30.7,18.17,20230217.0,13.253,10.88
4,002841.SZ,视源股份,,20230224,70.25,1.2178,1.08,23.8058,6.0%,47.5%,32.54,20.92~47.02,24.29~52.87,,1.5,0.76,34.38,47.02,20230209.0,64.33,21.91
5,600887.SH,伊利股份,长期,20230224,30.61,3.1368,2.61,22.2031,6.0%,63.0%,24.44,20.7~35.98,21.06~33.96,,1.5,0.8,69.39,51.14,,,
6,603360.SH,百傲化学,,20230224,17.0,,3.35,10.3248,8.0%,42.5%,23.28,10.82~19.62,8.59~31.23,,1.5,0.57,64.62,18.77,,,
7,603568.SH,伟明环保,,20230224,19.72,0.5071,1.32,21.0713,8.5%,67.5%,25.51,19.05~31.23,19.58~30.9,,1.5,0.26,27.33,43.46,,,
8,600036.SH,招商银行,长期,20230224,37.46,4.063,3.07,6.8453,9.0%,49.0%,15.51,5.88~14.3,6.68~13.4,,1.75,1.15,31.07,91.57,,,
9,000895.SZ,双汇发展,长期,20230224,26.56,7.1461,5.38,16.796,9.0%,63.5%,30.9,15.86~27.36,14.82~25.38,,1.25,1.43,92.66,34.59,20230208.0,25.173,15.86
10,000333.SZ,美的集团,长期,20230224,52.98,3.15,2.79,12.5281,13.5%,52.0%,25.21,10.63~24.59,11.3~23.18,,1.5,1.48,43.94,65.34,,,
11,002032.SZ,苏泊尔,,20230224,56.6,5.6101,1.86,22.1361,15.0%,61.5%,28.57,17.84~35.18,20.69~36.01,,1.25,1.05,45.55,42.99,,,
12,000848.SZ,承德露露,,20230224,9.08,,3.85,16.5728,17.5%,69.5%,22.17,13.63~23.73,14.47~23.53,,1.5,0.35,81.07,31.26,,,
