,证券代码,证券简称,日期,收盘价,股息率,PE_TTM,距离买点%,距离卖点%,买入日期,买入价格,买入PE,盈亏%
0,300529.SZ,健帆生物,20230224,32.35,2.744,21.645,-17.5%,26.0%,20230202.0,34.897,23.21,-7.3
1,300628.SZ,亿联网络,20230224,66.03,1.2125,27.3227,-7.0%,50.0%,,,,
2,002507.SZ,涪陵榨菜,20230224,26.62,1.3148,25.2769,-2.0%,48.5%,20230203.0,26.743,25.28,-0.46
3,603387.SH,基蛋生物,20230224,13.32,1.8233,10.8767,5.5%,30.0%,20230217.0,13.253,10.88,0.51
4,002841.SZ,视源股份,20230224,70.25,1.2178,23.8058,6.0%,47.5%,20230209.0,64.33,21.91,9.2
5,600887.SH,伊利股份,20230224,30.61,3.1368,22.2031,6.0%,63.0%,,,,
6,603360.SH,百傲化学,20230224,17.0,,10.3248,8.0%,42.5%,,,,
7,603568.SH,伟明环保,20230224,19.72,0.5071,21.0713,8.5%,67.5%,,,,
8,600036.SH,招商银行,20230224,37.46,4.063,6.8453,9.0%,49.0%,,,,
9,000895.SZ,双汇发展,20230224,26.56,7.1461,16.796,9.0%,63.5%,20230208.0,25.173,15.86,5.51
10,603338.SH,浙江鼎力,20230224,58.21,0.5841,28.5875,46.0%,45.0%,20230130.0,51.596,,12.82
11,600276.SH,恒瑞医药,20230224,43.19,0.3704,78.7978,100.0%,80.5%,20210810.0,57.559,56.74,-24.96
