,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
0,300628.SZ,亿联网络,,20230227,66.22,1.209,1.56,27.4013,1.0%,48.0%,28.96,29.59~58.69,25.02~54.5,,1.5,1.03,43.03,8.28,,,
1,300529.SZ,健帆生物,,20230227,32.11,2.7645,2.12,21.4845,4.5%,24.0%,30.4,17.09~89.79,25.64~83.44,,1.5,0.68,60.1,17.78,20230202.0,34.897,23.21
2,002507.SZ,涪陵榨菜,长期,20230227,25.52,1.3715,1.14,25.2031,6.5%,46.5%,21.59,24.81~55.51,22.47~52.29,,1.75,0.29,39.39,16.1,20230203.0,26.743,25.28
3,600887.SH,伊利股份,长期,20230227,30.5,3.1481,2.62,22.1233,11.5%,61.0%,24.44,19.42~37.24,19.98~35.04,,1.75,0.8,69.39,51.14,,,
4,603568.SH,伟明环保,,20230227,19.46,0.5139,1.34,20.7934,13.0%,64.5%,25.51,18.02~32.24,18.64~31.84,,1.75,0.26,27.33,43.46,,,
5,002841.SZ,视源股份,,20230227,69.05,1.2389,1.1,23.3992,15.0%,44.5%,32.54,18.73~49.17,21.88~55.24,,1.75,0.76,34.38,47.02,20230209.0,64.33,21.91
6,000895.SZ,双汇发展,长期,20230227,26.5,7.1623,5.4,16.7581,17.0%,60.5%,30.9,14.71~28.49,13.77~26.43,,1.5,1.43,92.66,34.59,20230208.0,25.173,15.86
7,600036.SH,招商银行,长期,20230227,37.16,4.0958,3.09,6.7905,18.5%,46.5%,15.51,5.27~14.89,6.2~13.88,,2.0,1.15,31.07,91.57,,,
8,000848.SZ,承德露露,,20230227,9.04,,3.87,16.4998,24.0%,67.0%,22.17,12.8~24.56,13.71~24.29,,1.75,0.35,81.07,31.26,,,
9,000333.SZ,美的集团,长期,20230227,52.4,3.1849,2.82,12.3909,25.0%,49.5%,25.21,9.46~25.74,10.3~24.16,,1.75,1.48,43.94,65.34,,,
10,002032.SZ,苏泊尔,,20230227,56.74,5.5962,1.85,22.1908,26.0%,59.5%,28.57,16.1~36.9,19.15~37.53,,1.5,1.05,45.55,42.99,,,
11,002884.SZ,凌霄泵业,,20230227,16.87,5.9277,6.64,12.8255,26.5%,56.5%,20.71,11.26~22.86,9.1~22.4,,1.75,1.12,74.54,8.45,,,
12,603360.SH,百傲化学,,20230227,17.19,,3.32,10.4402,29.5%,41.0%,23.28,10.07~20.35,6.69~33.11,,1.75,0.57,64.62,18.77,,,
13,600519.SH,贵州茅台,长期,20230227,1810.41,2.4075,0.92,38.1623,31.0%,68.0%,32.37,34.29~56.99,25.19~54.29,,1.5,16.71,51.72,24.38,,,
14,603387.SH,基蛋生物,,20230227,13.15,1.8468,2.97,10.7379,31.5%,28.0%,21.38,7.75~35.15,8.59~40.97,,1.75,0.39,30.7,18.17,20230217.0,13.253,10.88
15,603288.SH,海天味业,长期,20230227,81.56,0.8471,1.15,57.002,32.0%,61.5%,33.46,46.86~95.58,39.73~87.77,,1.5,0.94,55.97,30.65,,,
16,600885.SH,宏发股份,,20230227,35.41,0.8654,0.99,30.512,32.5%,54.5%,16.79,27.35~57.41,19.79~54.21,,1.75,0.35,30.75,33.39,,,
17,000049.SZ,德赛电池,,20230227,45.05,1.6699,1.31,14.8515,37.5%,56.5%,25.27,10.55~26.55,11.0~25.38,,2.0,0.59,23.65,70.97,,,
18,603899.SH,晨光股份,长期,20230227,52.98,1.1335,0.77,36.7596,38.0%,57.0%,26.23,25.71~66.87,27.38~61.08,,1.5,0.41,35.76,39.98,,,
19,300357.SZ,我武生物,,20230227,52.09,0.3859,0.46,69.822,45.5%,54.5%,24.02,55.29~131.81,42.19~120.69,,1.5,0.24,31.29,5.72,,,
20,600298.SH,安琪酵母,长期,20230227,40.16,1.193,1.05,29.3835,45.5%,65.0%,21.99,21.26~46.12,19.19~43.55,,2.0,0.42,34.31,46.8,,,
21,002916.SZ,深南电路,,20230227,79.49,1.1951,1.08,24.9219,45.5%,40.5%,21.79,15.14~59.98,19.62~61.96,,2.0,0.86,31.74,53.79,,,
22,600612.SH,老凤祥,,20230227,48.75,2.9744,2.46,14.7053,48.0%,69.5%,21.21,9.42~20.36,10.44~21.72,,2.0,1.2,45.31,51.38,,,
23,600600.SH,青岛啤酒,长期,20230227,108.19,1.0169,0.61,38.7224,50.0%,60.0%,10.23,27.05~66.03,24.56~62.18,,2.0,0.66,44.87,46.37,,,
24,603707.SH,健友股份,,20230227,17.14,0.6732,1.05,24.7108,51.0%,34.5%,21.5,15.94~71.2,16.74~69.04,,2.0,0.18,22.01,35.86,,,
25,002508.SZ,老板电器,,20230227,30.95,1.6071,1.97,24.0209,53.5%,96.5%,24.01,16.68~24.92,14.65~24.57,,1.5,0.61,39.35,34.91,,,
26,600085.SH,同仁堂,长期,20230227,47.95,0.6048,0.77,50.1907,54.0%,93.0%,11.77,34.53~54.15,30.63~53.25,,1.75,0.37,48.2,30.18,,,
27,002867.SZ,周大生,,20230227,16.12,3.0726,3.1,15.3697,56.5%,61.5%,21.77,9.26~24.12,10.37~25.39,,1.75,0.5,38.02,21.25,,,
28,603866.SH,桃李面包,,20230227,17.77,2.4118,4.95,36.559,57.0%,70.0%,18.9,21.44~51.56,25.22~51.86,,1.75,0.88,78.95,16.76,,,
29,300726.SZ,宏达电子,,20230227,45.3,1.3245,0.62,22.238,60.5%,30.5%,20.73,12.33~72.33,15.72~69.54,,2.0,0.28,29.87,12.76,,,
30,002415.SZ,海康威视,,20230227,37.22,2.4359,1.88,27.1708,61.0%,68.0%,30.75,16.2~40.5,17.44~39.04,,1.5,0.7,51.53,39.23,,,
31,603043.SH,广州酒家,,20230227,28.23,1.4131,1.31,27.4817,61.0%,65.0%,21.02,16.1~43.4,17.99~40.55,,1.75,0.37,38.18,26.29,,,
32,300015.SZ,爱尔眼科,长期,20230227,31.08,0.2909,0.58,83.3225,65.0%,47.0%,20.49,55.36~185.74,46.04~166.64,,1.75,0.18,41.94,39.14,,,
33,002236.SZ,大华股份,,20230227,14.0,1.904,1.36,15.8895,69.5%,65.5%,21.5,10.74~21.74,8.26~27.34,,2.25,0.19,18.56,47.45,,,
34,600436.SH,片仔癀,长期,20230227,307.23,0.3938,0.26,75.0725,70.0%,62.0%,24.1,52.83~126.43,37.76~114.84,,1.5,0.79,31.76,20.16,,,
35,601318.SH,中国平安,长期,20230227,47.8,4.9821,2.78,9.0602,70.0%,64.0%,18.87,5.16~13.2,5.48~14.9,,2.25,1.33,19.94,89.53,,,
36,603589.SH,口子窖,,20230227,68.58,2.1758,1.88,23.1369,70.0%,73.0%,23.49,13.43~31.83,13.73~30.93,,1.75,1.29,51.89,28.32,,,
37,000538.SZ,云南白药,长期,20230227,56.5,2.022,4.25,38.1954,70.5%,97.5%,14.5,22.79~39.61,21.95~38.21,,1.75,2.4,73.32,29.85,,,
38,002304.SZ,洋河股份,,20230227,172.88,1.7347,1.71,27.8134,72.0%,66.5%,21.82,18.88~43.24,14.06~40.3,,1.75,2.95,59.95,32.33,,,
39,603833.SH,欧派家居,,20230227,141.85,1.2337,0.82,33.9842,72.5%,75.0%,22.46,20.51~45.29,18.8~45.24,,1.75,1.16,30.31,35.64,,,
40,603338.SH,浙江鼎力,长期,20230227,58.22,0.584,0.58,28.5924,75.0%,43.0%,19.68,14.45~69.43,18.61~63.43,,2.0,0.34,19.81,31.38,20230130.0,51.596,
41,300630.SZ,普利制药,,20230227,26.85,0.7124,0.71,24.3127,79.0%,28.5%,23.04,15.49~71.73,12.02~98.88,,2.0,0.19,20.24,30.0,,,
42,300638.SZ,广和通,,20230227,21.05,0.623,1.24,36.5322,82.0%,42.5%,20.09,19.0~82.4,21.17~88.69,,2.25,0.26,26.93,46.39,,,
43,603444.SH,吉比特,,20230227,350.97,8.5477,2.6,19.787,86.5%,50.5%,29.83,11.14~41.06,10.05~36.87,,1.5,9.12,67.13,23.01,,,
44,603369.SH,今世缘,,20230227,63.6,0.922,0.64,33.0817,87.0%,71.5%,20.74,19.98~47.6,15.79~44.23,,1.75,0.41,35.75,30.0,,,
45,603605.SH,珀莱雅,,20230227,182.15,0.3347,0.32,73.0312,87.0%,80.5%,20.52,58.03~88.85,29.25~92.21,,1.75,0.58,30.36,35.45,,,
46,000858.SZ,五粮液,长期,20230227,204.81,1.476,1.05,30.5309,92.5%,54.5%,23.54,18.16~58.64,14.05~53.35,,1.75,2.16,50.18,24.79,,,
47,601155.SH,新城控股,,20230227,19.37,,6.61,4.3418,97.5%,47.0%,33.68,3.02~7.5,1.72~11.48,,2.0,1.28,28.97,85.18,,,
48,002833.SZ,弘亚数控,,20230227,18.05,2.0578,2.77,16.1045,100.5%,47.5%,24.75,7.26~34.58,8.91~32.77,,1.75,0.5,27.21,23.72,,,
49,002901.SZ,大博医疗,,20230227,35.67,1.4123,1.57,34.1689,105.5%,48.0%,30.19,14.59~73.77,19.22~68.32,,1.5,0.56,48.95,17.49,,,
50,603868.SH,飞科电器,,20230227,86.41,1.1573,1.39,42.7776,114.5%,102.5%,28.59,23.12~42.98,17.5~40.34,,1.5,1.2,71.06,27.71,,,
51,603848.SH,好太太,,20230227,17.85,1.4006,1.29,28.167,118.5%,97.0%,20.09,14.81~24.45,11.38~35.22,,1.75,0.23,34.0,21.27,,,
52,300595.SZ,欧普康视,,20230227,34.01,0.4087,0.47,49.323,122.0%,31.0%,26.56,30.75~169.11,17.33~149.13,,1.75,0.16,19.24,11.79,,,
53,600276.SH,恒瑞医药,长期,20230227,43.13,0.3709,0.44,78.6883,124.0%,77.5%,21.4,31.97~103.13,38.88~99.02,,2.0,0.19,17.99,10.67,20210810.0,57.559,56.74
54,002271.SZ,东方雨虹,,20230227,33.88,0.8819,0.8,26.818,149.5%,58.0%,22.73,15.92~46.5,8.09~45.03,,2.25,0.27,20.63,51.15,,,
55,300482.SZ,万孚生物,,20230227,33.48,0.8922,1.05,11.934,150.0%,17.0%,21.49,8.96~62.74,3.25~75.99,修正标准差,2.0,0.35,27.39,24.92,,,
56,600809.SH,山西汾酒,长期,20230227,283.75,0.6344,0.3,45.8956,164.5%,43.5%,30.23,27.62~109.34,12.63~98.63,,1.75,0.85,37.42,47.02,,,
57,603180.SH,金牌厨柜,,20230227,40.94,2.5913,2.27,18.3367,169.5%,59.0%,21.88,9.3~26.14,5.35~37.45,修正标准差,2.0,0.93,32.75,48.19,,,
58,603638.SH,艾迪精密,,20230227,19.4,0.6196,0.93,66.5446,185.5%,77.5%,21.72,31.35~87.83,18.51~82.59,,2.0,0.18,23.53,29.89,,,
59,000651.SZ,格力电器,长期,20230227,35.21,11.2082,5.85,7.7083,256.5%,33.0%,23.67,1.65~24.15,3.13~21.65,,2.0,2.06,46.15,61.2,,,
60,300571.SZ,平治信息,,20230227,35.32,0.3114,0.62,26.4647,263.5%,64.0%,32.07,15.02~33.16,4.8~52.94,,2.0,0.22,14.21,56.17,,,
61,600690.SH,海尔智家,,20230227,26.24,1.7349,1.45,16.7508,268.5%,47.0%,19.31,5.62~37.58,3.81~33.15,,2.0,0.38,34.95,66.12,,,
62,300450.SZ,先导智能,,20230227,43.31,1.1527,0.67,30.1987,383.0%,24.0%,21.81,16.89~130.85,3.83~116.61,,2.0,0.29,31.15,57.7,,,
63,600763.SH,通策医疗,,20230227,145.73,,0.05,78.1536,799.0%,38.5%,20.27,18.57~214.45,5.67~187.57,,2.0,0.08,17.52,34.43,,,
64,600309.SH,万华化学,长期,20230227,102.85,2.4307,1.67,19.8852,1913.0%,54.5%,35.67,1.96~38.88,0.66~34.12,,1.75,1.72,41.66,56.12,,,
65,000661.SZ,长春高新,长期,20230227,194.4,0.409,0.43,19.3074,3449.0%,23.0%,24.93,0.28~84.66,9.47~79.53,,1.75,0.84,12.95,28.62,,,
