,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
0,002507.SZ,涪陵榨菜,2010,长期,20230302,25.86,1.3534,1.12,25.5389,8.0%,46.5%,21.59,24.67~55.55,22.42~52.28,,1.75,0.29,39.39,16.1,20230203.0,26.743,25.28
1,600887.SH,伊利股份,1996,长期,20230302,31.14,3.0834,2.57,22.5876,14.5%,62.0%,24.44,19.38~37.24,19.95~35.03,,1.75,0.8,69.39,51.14,,,
2,000895.SZ,双汇发展,1998,长期,20230302,26.66,7.1193,5.36,16.8593,18.0%,61.0%,30.9,14.67~28.49,13.75~26.41,,1.5,1.43,92.66,34.59,20230208.0,25.173,15.86
3,300628.SZ,亿联网络,2017,,20230302,70.5,1.1356,1.46,29.1025,18.0%,49.0%,28.96,27.0~61.08,22.54~56.96,,1.75,1.03,43.03,8.28,,,
4,603568.SH,伟明环保,2015,,20230302,19.34,0.5171,1.34,20.6652,18.5%,62.5%,25.51,17.0~33.18,17.7~32.72,,2.0,0.26,27.33,43.46,,,
5,600036.SH,招商银行,2002,长期,20230302,38.25,3.9791,3.01,6.9897,23.0%,48.0%,15.51,5.24~14.9,6.18~13.88,,2.0,1.15,31.07,91.57,,,
6,300482.SZ,万孚生物,2015,,20230302,32.64,0.9152,1.07,11.6345,23.5%,17.0%,21.49,8.91~62.35,9.88~69.14,修正标准差,2.25,0.35,27.39,24.92,,,
7,000848.SZ,承德露露,1997,,20230302,9.25,,3.78,16.8831,27.0%,68.5%,22.17,12.8~24.56,13.7~24.26,,1.75,0.35,81.07,31.26,,,
8,002032.SZ,苏泊尔,2004,,20230302,57.68,5.505,1.82,22.5584,28.5%,60.5%,28.57,16.06~36.86,19.13~37.53,,1.5,1.05,45.55,42.99,,,
9,600885.SH,宏发股份,1996,,20230302,34.9,0.878,1.0,30.0726,31.0%,53.5%,16.79,27.25~57.43,19.78~54.2,,1.75,0.35,30.75,33.39,,,
10,000333.SZ,美的集团,2013,长期,20230302,54.85,3.0426,2.7,12.9703,31.5%,51.5%,25.21,9.42~25.74,10.28~24.14,,1.75,1.48,43.94,65.34,,,
11,603288.SH,海天味业,2014,长期,20230302,81.6,0.8467,1.15,57.0299,32.0%,61.5%,33.46,46.89~95.57,39.79~87.77,,1.5,0.94,55.97,30.65,,,
12,600519.SH,贵州茅台,2001,长期,20230302,1828.0,2.3843,0.91,38.533,32.0%,68.5%,32.37,34.34~56.98,25.19~54.29,,1.5,16.71,51.72,24.38,,,
13,002841.SZ,视源股份,2017,,20230302,69.7,1.2274,1.09,23.6194,32.0%,42.5%,32.54,16.45~51.35,19.39~57.63,,2.0,0.76,34.38,47.02,20230209.0,64.33,21.91
14,000049.SZ,德赛电池,1995,,20230302,43.55,1.7274,1.35,14.357,33.0%,55.0%,25.27,10.52~26.54,11.0~25.34,,2.0,0.59,23.65,70.97,,,
15,002884.SZ,凌霄泵业,2017,,20230302,16.92,5.9102,6.62,12.8635,40.0%,54.5%,20.71,10.43~23.69,8.15~23.31,,2.0,1.12,74.54,8.45,,,
16,300357.SZ,我武生物,2014,,20230302,51.81,0.388,0.46,69.4467,44.5%,54.5%,24.02,55.22~131.82,42.34~120.66,,1.5,0.24,31.29,5.72,,,
17,600612.SH,老凤祥,1992,,20230302,48.06,3.0171,2.5,14.4972,45.5%,68.5%,21.21,9.42~20.34,10.43~21.69,,2.0,1.2,45.31,51.38,,,
18,600298.SH,安琪酵母,2000,长期,20230302,40.17,1.1927,1.05,29.3909,45.5%,65.0%,21.99,21.25~46.11,19.18~43.54,,2.0,0.42,34.31,46.8,,,
19,300529.SZ,健帆生物,2016,,20230302,32.26,2.7516,2.11,21.5848,52.5%,23.0%,30.4,10.73~95.79,20.66~88.32,,1.75,0.68,60.1,17.78,20230202.0,34.897,23.21
20,002508.SZ,老板电器,2010,,20230302,31.43,1.5826,1.94,24.3934,56.0%,98.0%,24.01,16.68~24.96,14.66~24.56,,1.5,0.61,39.35,34.91,,,
21,600600.SH,青岛啤酒,1993,长期,20230302,112.88,0.9747,0.58,40.401,56.0%,62.5%,10.23,27.17~65.99,24.55~62.17,,2.0,0.66,44.87,46.37,,,
22,600085.SH,同仁堂,1997,长期,20230302,48.8,0.5943,0.76,51.0804,56.5%,94.5%,11.77,34.67~54.17,30.63~53.29,,1.75,0.37,48.2,30.18,,,
23,603899.SH,晨光股份,2015,长期,20230302,53.37,1.1252,0.77,37.0302,58.0%,54.5%,26.23,22.24~70.3,24.55~63.87,,1.75,0.41,35.76,39.98,,,
24,300015.SZ,爱尔眼科,2009,长期,20230302,30.76,0.2939,0.59,82.4646,64.0%,46.5%,20.49,55.24~185.76,46.04~166.64,,1.75,0.18,41.94,39.14,,,
25,002415.SZ,海康威视,2010,,20230302,39.4,2.3012,1.78,28.7623,70.5%,72.0%,30.75,16.21~40.51,17.46~38.96,,1.5,0.7,51.53,39.23,,,
26,002304.SZ,洋河股份,2009,,20230302,172.41,1.7394,1.71,27.7378,71.5%,66.0%,21.82,18.96~43.22,14.06~40.3,,1.75,2.95,59.95,32.33,,,
