,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
0,600887.SH,伊利股份,1996,长期,20230331,29.12,3.2973,2.75,21.1224,8.5%,58.0%,24.44,19.09~37.33,19.71~35.01,,1.75,0.8,69.39,51.14,,,
1,002507.SZ,涪陵榨菜,2010,长期,20230331,25.33,1.3818,1.14,25.0155,9.0%,45.5%,21.59,23.63~55.79,22.02~52.24,,1.75,0.29,39.39,16.1,20230203.0,26.743,25.28
2,603568.SH,伟明环保,2015,,20230331,18.24,0.5482,1.43,19.4898,13.5%,59.0%,25.51,16.71~32.91,17.52~32.56,,2.0,0.26,27.33,43.46,,,
3,600036.SH,招商银行,2002,长期,20230331,34.27,4.4412,3.36,6.2624,14.0%,43.0%,15.51,5.03~14.97,5.99~13.91,,2.0,1.15,31.07,91.57,,,
4,000895.SZ,双汇发展,1998,长期,20230331,25.94,7.3169,5.51,15.9892,14.0%,58.0%,30.9,14.36~28.42,13.63~26.37,,1.5,1.43,92.66,34.59,20230208.0,25.173,15.86
5,600885.SH,宏发股份,1996,,20230331,32.59,0.9403,1.07,27.2423,19.5%,48.5%,16.79,26.85~57.57,19.61~54.19,,1.75,0.35,30.75,33.39,,,
6,000848.SZ,承德露露,1997,,20230331,8.84,,3.96,16.1347,21.5%,65.5%,22.17,12.86~24.54,13.62~24.14,,1.75,0.35,81.07,31.26,,,
7,002032.SZ,苏泊尔,2004,,20230331,54.15,5.8639,1.94,21.1779,22.0%,56.5%,28.57,15.82~36.68,18.98~37.52,,1.5,1.05,45.55,42.99,,,
8,603288.SH,海天味业,2014,长期,20230331,76.54,0.9027,1.23,53.4935,23.5%,57.5%,33.46,46.7~95.6,40.05~87.71,,1.5,0.94,55.97,30.65,,,
9,600519.SH,贵州茅台,2001,长期,20230331,1820.0,2.3948,0.92,36.4542,24.5%,65.5%,32.37,34.69~56.85,25.23~54.29,,1.5,16.71,51.72,24.38,,,
10,300482.SZ,万孚生物,2015,,20230331,31.11,0.9602,1.13,11.5532,26.5%,17.5%,21.49,8.52~59.6,9.71~67.97,修正标准差,2.25,0.35,27.39,24.92,,,
11,300628.SZ,亿联网络,2017,,20230331,76.01,1.0533,1.36,31.3771,29.0%,53.0%,28.96,26.2~61.16,22.45~56.97,,1.75,1.03,43.03,8.28,,,
12,000333.SZ,美的集团,2013,长期,20230331,53.81,3.1014,2.75,12.7244,31.0%,51.0%,25.21,9.24~25.78,10.12~23.94,,1.75,1.48,43.94,65.34,,,
13,300357.SZ,我武生物,2014,,20230331,47.6,0.4223,0.5,63.8035,32.0%,50.0%,24.02,54.78~131.86,43.04~120.54,,1.5,0.24,31.29,5.72,,,
14,002884.SZ,凌霄泵业,2017,,20230331,16.04,6.2344,6.98,12.1945,34.0%,51.5%,20.71,10.33~23.69,8.08~23.08,,2.0,1.12,74.54,8.45,,,
15,000049.SZ,德赛电池,1995,,20230331,43.38,1.7342,1.36,14.301,34.5%,54.5%,25.27,10.33~26.55,10.89~25.13,,2.0,0.59,23.65,70.97,,,
16,600298.SH,安琪酵母,2000,长期,20230331,41.75,1.1476,1.01,27.459,36.5%,61.0%,21.99,21.12~46.12,19.12~43.48,,2.0,0.42,34.31,46.8,,,
17,002508.SZ,老板电器,2010,,20230331,28.36,1.7539,2.15,22.0108,39.0%,88.5%,24.01,16.97~24.99,14.7~24.46,,1.5,0.61,39.35,34.91,,,
18,000538.SZ,云南白药,1993,长期,20230331,54.7,2.0886,4.39,32.7505,44.5%,83.5%,14.5,23.31~39.91,21.89~38.43,,1.75,2.4,73.32,29.85,,,
19,002841.SZ,视源股份,2017,,20230331,74.85,1.1429,1.02,25.3646,47.0%,46.5%,32.54,15.89~51.39,18.78~57.48,,2.0,0.76,34.38,47.02,20230209.0,64.33,21.91
20,603899.SH,晨光股份,2015,长期,20230331,49.1,1.2231,0.84,35.4885,54.0%,52.5%,26.23,21.84~70.28,24.28~63.82,,1.75,0.41,35.76,39.98,,,
21,603866.SH,桃李面包,2015,,20230331,15.57,2.7525,5.65,32.4289,54.5%,60.5%,18.9,19.16~53.12,23.13~53.65,,2.0,0.88,78.95,16.76,,,
22,600436.SH,片仔癀,2003,长期,20230331,284.38,0.4255,0.28,69.489,54.5%,57.5%,24.1,54.41~126.03,38.04~114.9,,1.5,0.79,31.76,20.16,,,
23,603833.SH,欧派家居,2017,,20230331,120.78,1.4489,0.96,28.9363,58.0%,61.5%,22.46,19.26~46.94,17.4~45.94,,2.0,1.16,30.31,35.64,,,
24,600085.SH,同仁堂,1997,长期,20230331,55.14,0.5259,0.67,53.0385,60.0%,98.5%,11.77,35.98~54.1,30.54~53.56,,1.75,0.37,48.2,30.18,,,
25,002304.SZ,洋河股份,2009,,20230331,165.46,1.8125,1.78,26.6196,61.0%,64.0%,21.82,19.79~42.89,14.11~40.31,,1.75,2.95,59.95,32.33,,,
26,300015.SZ,爱尔眼科,2009,长期,20230331,31.07,0.2909,0.58,83.2957,66.5%,46.5%,20.49,54.73~185.87,45.88~166.62,,1.75,0.18,41.94,39.14,,,
27,600612.SH,老凤祥,1992,,20230331,53.97,2.6867,2.22,16.6041,67.0%,79.0%,21.21,9.45~20.37,10.44~21.56,,2.0,1.2,45.31,51.38,,,
28,600600.SH,青岛啤酒,1993,长期,20230331,120.6,0.9123,0.55,44.3392,69.0%,69.0%,10.23,28.15~65.59,24.47~61.99,,2.0,0.66,44.87,46.37,,,
29,002867.SZ,周大生,2017,,20230331,15.84,3.1269,3.16,15.1027,70.5%,59.0%,21.77,8.29~25.17,9.44~25.86,,2.0,0.5,38.02,21.25,,,
30,000661.SZ,长春高新,1996,长期,20230331,163.3,0.4869,0.51,15.9631,73.5%,21.0%,24.93,10.2~71.4,8.34~79.56,修正标准差,1.75,0.84,12.95,28.62,,,
31,601155.SH,新城控股,2015,,20230331,16.34,,7.83,3.6626,74.0%,40.0%,33.68,2.65~7.73,1.74~11.02,,2.25,1.28,28.97,85.18,,,
32,603360.SH,百傲化学,2017,,20230331,17.44,,3.27,10.592,77.0%,40.0%,23.28,9.09~20.87,4.44~34.72,,2.0,0.57,64.62,18.77,,,
33,601318.SH,中国平安,2007,长期,20230331,45.6,5.2225,2.92,9.9503,82.0%,72.0%,18.87,5.18~13.22,5.76~14.38,,2.25,1.33,19.94,89.53,,,
34,002415.SZ,海康威视,2010,,20230331,42.66,2.1253,1.64,31.1421,82.5%,78.5%,30.75,16.49~40.61,17.59~38.43,,1.5,0.7,51.53,39.23,,,
35,000858.SZ,五粮液,1998,长期,20230331,197.0,1.5345,1.1,29.3666,84.5%,52.5%,23.54,18.27~58.61,13.99~53.31,,1.75,2.16,50.18,24.79,,,
36,603589.SH,口子窖,2015,,20230331,70.4,2.1196,1.83,23.7509,87.0%,72.5%,23.49,12.82~33.02,12.53~31.99,,2.0,1.29,51.89,28.32,,,
37,603369.SH,今世缘,2014,,20230331,64.85,0.9042,0.63,33.7319,87.0%,73.0%,20.74,20.42~47.58,16.07~44.31,,1.75,0.41,35.75,30.0,,,
38,603848.SH,好太太,2017,,20230331,14.22,1.7581,1.62,22.4389,92.0%,74.5%,20.09,13.97~25.55,9.99~36.17,,2.0,0.23,34.0,21.27,,,
39,603707.SH,健友股份,2017,,20230331,16.3,0.7079,1.1,23.4997,96.0%,32.0%,21.5,11.43~72.97,12.5~72.52,,2.25,0.18,22.01,35.86,,,
40,002916.SZ,深南电路,2017,,20230331,92.32,1.029,0.93,28.876,100.5%,46.0%,21.79,12.87~60.01,16.28~64.48,,2.25,0.86,31.74,53.79,,,
41,603605.SH,珀莱雅,2017,,20230331,181.85,0.3353,0.32,72.9109,101.0%,77.5%,20.52,56.49~90.97,26.66~96.52,,2.0,0.58,30.36,35.45,,,
42,603043.SH,广州酒家,2017,,20230331,29.64,1.3459,1.25,32.3962,111.5%,73.5%,21.02,14.25~45.45,16.52~42.24,,2.0,0.37,38.18,26.29,,,
43,603868.SH,飞科电器,2016,,20230331,82.68,1.2095,1.45,40.931,121.5%,93.5%,28.59,22.63~44.69,15.53~42.57,,1.75,1.2,71.06,27.71,,,
44,600276.SH,恒瑞医药,2000,长期,20230331,42.82,0.3736,0.44,78.1227,122.0%,76.5%,21.4,31.99~103.17,38.92~98.96,,2.0,0.19,17.99,10.67,20210810.0,57.559,56.74
45,603338.SH,浙江鼎力,2015,长期,20230331,54.79,0.6206,0.62,26.9079,122.0%,38.0%,19.68,10.06~72.9,15.17~66.17,,2.25,0.34,19.81,31.38,20230130.0,51.596,
46,300529.SZ,健帆生物,2016,,20230331,30.35,2.9248,2.24,27.5582,131.0%,29.5%,30.4,8.59~95.25,19.29~88.61,,1.75,0.68,60.1,17.78,20230202.0,34.897,23.21
47,002271.SZ,东方雨虹,2008,,20230331,33.48,0.8925,0.81,26.5013,145.0%,57.5%,22.73,16.27~46.39,8.06~44.92,,2.25,0.27,20.63,51.15,,,
48,300726.SZ,宏达电子,2017,,20230331,45.6,1.3158,0.61,22.0496,149.0%,29.0%,20.73,7.16~76.48,11.51~72.43,,2.25,0.28,29.87,12.76,,,
49,603387.SH,基蛋生物,2017,,20230331,13.41,1.811,2.91,13.8014,154.5%,34.5%,21.38,5.0~36.92,5.92~42.48,,2.0,0.39,30.7,18.17,20230217.0,13.253,10.88
50,600809.SH,山西汾酒,1994,长期,20230331,272.4,0.6608,0.31,44.0598,155.0%,42.0%,30.23,28.2~109.14,12.43~98.55,,1.75,0.85,37.42,47.02,,,
