ts_code,行业,上市年份,year,roe,营业总收入(亿),净利润(亿),股本(万),每股分红,负债率,分红金额(亿),分红率,净利润率
000538.SZ,中成药,1993,2021,7.351,363.7392,28.0606,128301.5697,1.6,26.5,20.5283,73.16,7.71
000538.SZ,中成药,1993,2020,14.5178,327.4277,55.1928,126070.332,3.9,30.56,49.1674,89.08,16.86
000538.SZ,中成药,1993,2019,14.4966,296.6467,41.7963,127740.3317,3.0,23.28,38.3221,91.69,14.09
000538.SZ,中成药,1993,2018,17.486,267.0821,33.0658,104133.4418,2.0001254,34.42,20.828,62.99,12.38
000538.SZ,中成药,1993,2017,18.6296,243.1461,31.4497,104139.9718,1.5,34.51,15.621,49.67,12.93
000538.SZ,中成药,1993,2016,20.0275,224.1065,29.1988,104139.9718,0.8,35.56,8.3312,28.53,13.03
000538.SZ,中成药,1993,2015,22.5106,207.3813,27.7084,104139.9718,0.6,29.87,6.2484,22.55,13.36
000538.SZ,中成药,1993,2014,24.7956,188.1437,25.0433,104139.9718,0.475,30.88,4.9466,19.75,13.31
000538.SZ,中成药,1993,2013,28.9168,158.1479,23.2348,69426.6479,0.45,29.91,3.1242,13.45,14.69
000538.SZ,中成药,1993,2012,25.1541,136.8682,15.8232,69426.6479,0.4275,34.1,2.968,18.76,11.56
000538.SZ,中成药,1993,2011,24.2936,113.1232,12.1111,69426.6479,0.144,38.89,0.9997,8.25,10.71
000538.SZ,中成药,1993,2010,23.1694,100.7544,9.2598,69426.6479,0.09,42.17,0.6248,6.75,9.19
000538.SZ,中成药,1993,2009,17.9723,71.7178,6.0152,53405.1138,0.18,39.56,0.9613,15.98,8.39
