证券简称,ts_code,trade_date,close,pe_ttm,ps_ttm,dv_ttm,total_share,total_mv
双汇发展,000895.SZ,20230428,24.95,15.3035,1.3406,11.6152,346466.1213,8644329.7264
双汇发展,000895.SZ,20230427,24.65,15.1195,1.3245,11.7566,346466.1213,8540389.89
双汇发展,000895.SZ,20230426,25.31,15.5244,1.36,7.499,346466.1213,8769057.5301
双汇发展,000895.SZ,20230425,26.11,16.094,1.4456,7.2692,346466.1213,9046230.4271
双汇发展,000895.SZ,20230424,25.83,15.9214,1.4301,7.348,346466.1213,8949219.9132
双汇发展,000895.SZ,20230421,26.17,16.1309,1.449,7.2526,346466.1213,9067018.3944
双汇发展,000895.SZ,20230420,26.4,16.2727,1.4617,7.1894,346466.1213,9146705.6023
双汇发展,000895.SZ,20230419,26.34,16.2357,1.4584,7.2058,346466.1213,9125917.635
双汇发展,000895.SZ,20230418,26.65,16.4268,1.4755,7.122,346466.1213,9233322.1326
双汇发展,000895.SZ,20230417,26.02,16.0385,1.4407,7.2944,346466.1213,9015048.4762
双汇发展,000895.SZ,20230414,25.7,15.8412,1.4229,7.3852,346466.1213,8904179.3174
双汇发展,000895.SZ,20230413,25.78,15.8906,1.4274,7.3623,346466.1213,8931896.6071
双汇发展,000895.SZ,20230412,25.7,15.8412,1.4229,7.3852,346466.1213,8904179.3174
双汇发展,000895.SZ,20230411,25.96,16.0015,1.4373,7.3112,346466.1213,8994260.5089
双汇发展,000895.SZ,20230410,25.95,15.9953,1.4368,7.3141,346466.1213,8990795.8477
双汇发展,000895.SZ,20230407,26.08,16.0755,1.444,7.2776,346466.1213,9035836.4435
双汇发展,000895.SZ,20230406,26.25,16.1803,1.4534,7.2305,346466.1213,9094735.6841
双汇发展,000895.SZ,20230404,26.11,16.094,1.4456,7.2692,346466.1213,9046230.4271
双汇发展,000895.SZ,20230403,25.98,16.0138,1.4384,7.3056,346466.1213,9001189.8314
双汇发展,000895.SZ,20230331,25.94,15.9892,1.4362,7.3169,346466.1213,8987331.1865
双汇发展,000895.SZ,20230330,25.69,15.8351,1.4224,7.3881,346466.1213,8900714.6562
双汇发展,000895.SZ,20230329,25.69,15.8351,1.4224,7.3881,346466.1213,8900714.6562
双汇发展,000895.SZ,20230328,25.49,16.1194,1.4656,7.4461,346466.1213,8831421.4319
双汇发展,000895.SZ,20230327,25.35,16.0308,1.4576,7.4872,346466.1213,8782916.175
双汇发展,000895.SZ,20230324,25.38,16.0498,1.4593,7.4783,346466.1213,8793310.1586
双汇发展,000895.SZ,20230323,25.3,15.9992,1.4547,7.502,346466.1213,8765592.8689
双汇发展,000895.SZ,20230322,25.19,15.9297,1.4484,7.5347,346466.1213,8727481.5955
双汇发展,000895.SZ,20230321,25.21,15.9423,1.4495,7.5288,346466.1213,8734410.918
双汇发展,000895.SZ,20230320,24.8,15.683,1.4259,7.6532,346466.1213,8592359.8082
双汇发展,000895.SZ,20230317,25.19,15.9297,1.4484,7.5347,346466.1213,8727481.5955
双汇发展,000895.SZ,20230316,25.3,15.9992,1.4547,7.502,346466.1213,8765592.8689
双汇发展,000895.SZ,20230315,25.58,16.1763,1.4708,7.4199,346466.1213,8862603.3829
双汇发展,000895.SZ,20230314,25.51,16.132,1.4668,7.4402,346466.1213,8838350.7544
双汇发展,000895.SZ,20230313,25.6,16.1889,1.4719,7.4141,346466.1213,8869532.7053
双汇发展,000895.SZ,20230310,25.35,16.0308,1.4576,7.4872,346466.1213,8782916.175
双汇发展,000895.SZ,20230309,25.61,16.1953,1.4725,7.4112,346466.1213,8872997.3665
双汇发展,000895.SZ,20230308,25.8,16.3154,1.4834,7.3566,346466.1213,8938825.9295
双汇发展,000895.SZ,20230307,25.92,16.3913,1.4903,7.3225,346466.1213,8980401.8641
双汇发展,000895.SZ,20230306,26.59,16.815,1.5289,7.138,346466.1213,9212534.1654
双汇发展,000895.SZ,20230303,26.58,16.8087,1.5283,7.1407,346466.1213,9209069.5042
双汇发展,000895.SZ,20230302,26.66,16.8593,1.5329,7.1193,346466.1213,9236786.7939
