证券简称,ts_code,trade_date,close,pe_ttm,ps_ttm,dv_ttm,total_share,total_mv
恒瑞医药,600276.SH,20230428,48.65,79.4017,14.5774,0.3288,637900.2274,31033846.063
恒瑞医药,600276.SH,20230427,48.2,78.6672,14.4425,0.3319,637900.2274,30746790.9607
恒瑞医药,600276.SH,20230426,48.2,78.6672,14.4425,0.3319,637900.2274,30746790.9607
恒瑞医药,600276.SH,20230425,47.98,78.3082,14.3766,0.3334,637900.2274,30606452.9107
恒瑞医药,600276.SH,20230424,48.35,78.912,14.4875,0.3309,637900.2274,30842475.9948
恒瑞医药,600276.SH,20230421,47.32,86.3328,13.9413,0.3381,637900.2274,30185438.7606
恒瑞医药,600276.SH,20230420,47.8,87.2085,14.0827,0.3347,637900.2274,30491630.8697
恒瑞医药,600276.SH,20230419,48.66,88.7775,14.3361,0.3288,637900.2274,31040225.0653
恒瑞医药,600276.SH,20230418,48.93,89.2701,14.4156,0.3269,637900.2274,31212458.1267
恒瑞医药,600276.SH,20230417,49.29,89.9269,14.5217,0.3246,637900.2274,31442102.2085
恒瑞医药,600276.SH,20230414,47.72,87.0625,14.0591,0.3352,637900.2274,30440598.8515
恒瑞医药,600276.SH,20230413,47.35,86.3875,13.9501,0.3379,637900.2274,30204575.7674
恒瑞医药,600276.SH,20230412,45.63,83.2494,13.4434,0.3506,637900.2274,29107387.3763
恒瑞医药,600276.SH,20230411,46.01,83.9427,13.5553,0.3477,637900.2274,29349789.4627
恒瑞医药,600276.SH,20230410,46.27,84.4171,13.6319,0.3457,637900.2274,29515643.5218
恒瑞医药,600276.SH,20230407,45.15,82.3737,13.3019,0.3543,637900.2274,28801195.2671
恒瑞医药,600276.SH,20230406,42.78,78.0498,12.6037,0.3739,637900.2274,27289371.7282
恒瑞医药,600276.SH,20230404,43.15,78.7248,12.7127,0.3707,637900.2274,27525394.8123
恒瑞医药,600276.SH,20230403,42.56,77.6484,12.5389,0.3759,637900.2274,27149033.6781
