,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
0,002507.SZ,涪陵榨菜,2010,长期,20230320,24.18,1.4475,1.2,23.8798,3.5%,43.5%,21.59,24.08~55.7,22.2~52.24,,1.75,0.29,39.39,16.1,20230203.0,26.743,25.28
1,600887.SH,伊利股份,1996,长期,20230320,28.54,3.3643,2.8,20.7016,5.5%,57.0%,24.44,19.23~37.29,19.81~34.99,,1.75,0.8,69.39,51.14,,,
2,000895.SZ,双汇发展,1998,长期,20230320,24.8,7.6532,5.77,15.683,11.0%,57.0%,30.9,14.49~28.45,13.67~26.39,,1.5,1.43,92.66,34.59,20230208.0,25.173,15.86
3,600036.SH,招商银行,2002,长期,20230320,34.12,4.4607,3.37,6.235,11.5%,42.5%,15.51,5.12~14.94,6.07~13.89,,2.0,1.15,31.07,91.57,,,
4,603568.SH,伟明环保,2015,,20230320,18.65,0.5362,1.39,19.9279,15.5%,60.5%,25.51,16.84~33.04,17.62~32.6,,2.0,0.26,27.33,43.46,,,
5,000848.SZ,承德露露,1997,,20230320,8.5,,4.12,15.5142,16.5%,63.5%,22.17,12.83~24.55,13.66~24.18,,1.75,0.35,81.07,31.26,,,
6,300482.SZ,万孚生物,2015,,20230320,30.86,0.968,1.13,11.0001,19.0%,17.0%,21.49,8.69~60.81,9.77~68.41,修正标准差,2.25,0.35,27.39,24.92,,,
7,603288.SH,海天味业,2014,长期,20230320,74.52,0.9271,1.26,52.0818,20.5%,56.5%,33.46,46.87~95.57,39.93~87.75,,1.5,0.94,55.97,30.65,,,
8,002032.SZ,苏泊尔,2004,,20230320,54.09,5.8704,1.94,21.1544,21.5%,56.5%,28.57,15.92~36.74,19.04~37.52,,1.5,1.05,45.55,42.99,,,
9,000333.SZ,美的集团,2013,长期,20230320,50.44,3.3086,2.93,11.9275,22.0%,47.5%,25.21,9.3~25.76,10.2~24.0,,1.75,1.48,43.94,65.34,,,
10,600885.SH,宏发股份,1996,,20230320,32.91,0.9311,1.06,28.3578,24.5%,50.5%,16.79,26.94~57.52,19.67~54.19,,1.75,0.35,30.75,33.39,,,
11,600519.SH,贵州茅台,2001,长期,20230320,1729.6,2.5199,0.97,36.4588,24.5%,65.5%,32.37,34.53~56.91,25.18~54.3,,1.5,16.71,51.72,24.38,,,
12,000049.SZ,德赛电池,1995,,20230320,40.96,1.8366,1.44,13.5032,26.5%,51.5%,25.27,10.38~26.54,10.94~25.2,,2.0,0.59,23.65,70.97,,,
13,002884.SZ,凌霄泵业,2017,,20230320,15.73,6.3573,7.12,11.9588,30.5%,50.5%,20.71,10.41~23.69,8.11~23.17,,2.0,1.12,74.54,8.45,,,
14,002508.SZ,老板电器,2010,,20230320,27.06,1.8381,2.25,21.0018,33.5%,84.5%,24.01,16.82~24.98,14.68~24.48,,1.5,0.61,39.35,34.91,,,
15,300628.SZ,亿联网络,2017,,20230320,81.0,0.9884,1.27,33.437,37.5%,56.0%,28.96,26.42~61.14,22.43~56.99,,1.75,1.03,43.03,8.28,,,
16,600298.SH,安琪酵母,2000,长期,20230320,38.65,1.2397,1.09,28.2787,40.0%,63.0%,21.99,21.18~46.12,19.14~43.5,,2.0,0.42,34.31,46.8,,,
17,002841.SZ,视源股份,2017,,20230320,71.93,1.1893,1.06,24.3751,40.0%,44.5%,32.54,16.03~51.39,18.96~57.62,,2.0,0.76,34.38,47.02,20230209.0,64.33,21.91
18,300357.SZ,我武生物,2014,,20230320,50.54,0.3977,0.47,67.7444,40.5%,53.5%,24.02,55.0~131.82,42.82~120.6,,1.5,0.24,31.29,5.72,,,
19,600600.SH,青岛啤酒,1993,长期,20230320,106.0,1.0379,0.62,37.9386,45.0%,59.0%,10.23,27.77~65.73,24.49~62.03,,2.0,0.66,44.87,46.37,,,
20,603899.SH,晨光股份,2015,长期,20230320,48.7,1.2331,0.84,33.79,45.5%,50.0%,26.23,22.05~70.29,24.41~63.85,,1.75,0.41,35.76,39.98,,,
