证券代码,证券简称,跟踪时间,平均ROE,最小ROE,最大负债率,最小毛利率
000049.SZ,德赛电池,,30.28,23.47,16.64,64.8
000333.SZ,美的集团,长期,25.88,22.55,28.86,56.51
000538.SZ,云南白药,长期,19.39,7.35,31.19,23.28
000651.SZ,格力电器,长期,29.86,19.68,36.1,58.14
000661.SZ,长春高新,长期,25.47,15.9,87.61,23.45
000848.SZ,承德露露,,27.05,20.6,52.62,27.62
000858.SZ,五粮液,长期,22.34,14.93,75.35,13.09
000895.SZ,双汇发展,长期,30.33,20.9,21.42,22.71
002032.SZ,苏泊尔,,23.94,16.17,31.15,31.56
002236.SZ,大华股份,,25.44,15.57,42.82,30.75
002271.SZ,东方雨虹,,21.94,16.17,42.63,32.66
002304.SZ,洋河股份,,26.36,18.54,75.32,28.58
002415.SZ,海康威视,,31.67,27.12,49.2,18.11
002507.SZ,涪陵榨菜,长期,18.53,12.12,58.61,7.51
002508.SZ,老板电器,,24.5,15.97,58.17,25.36
002833.SZ,弘亚数控,,26.07,22.26,40.13,12.57
002841.SZ,视源股份,,32.54,21.85,27.32,41.72
002867.SZ,周大生,,22.13,20.07,41.03,17.37
002884.SZ,凌霄泵业,,20.71,17.63,33.56,7.41
002901.SZ,大博医疗,,30.19,27.85,85.87,10.79
002916.SZ,深南电路,,21.79,18.56,26.53,46.86
300015.SZ,爱尔眼科,长期,18.7,12.74,51.92,17.76
300357.SZ,我武生物,,23.56,20.42,96.43,3.34
300450.SZ,先导智能,,24.64,15.51,43.05,54.98
300482.SZ,万孚生物,,21.56,18.64,69.02,12.26
300529.SZ,健帆生物,,29.19,22.09,86.21,8.91
300571.SZ,平治信息,,31.16,22.16,46.43,27.66
300595.SZ,欧普康视,,26.56,23.65,78.54,10.02
300628.SZ,亿联网络,,28.96,26.64,66.02,4.92
300630.SZ,普利制药,,23.04,18.19,83.76,17.51
300638.SZ,广和通,,20.09,17.16,28.31,36.55
300726.SZ,宏达电子,,20.73,15.25,69.51,5.36
600036.SH,招商银行,长期,17.72,14.58,,90.64
600085.SH,同仁堂,长期,12.96,10.66,47.62,24.19
600276.SH,恒瑞医药,长期,22.0,13.83,87.93,7.64
600298.SH,安琪酵母,长期,15.66,5.3,37.64,42.74
600436.SH,片仔癀,长期,21.59,15.39,54.57,18.15
600519.SH,贵州茅台,长期,32.91,24.44,92.9,16.03
600600.SH,青岛啤酒,长期,11.16,6.37,41.53,42.62
600612.SH,老凤祥,,23.42,20.42,8.95,49.99
600690.SH,海尔智家,,23.0,15.48,31.23,57.34
600763.SH,通策医疗,,24.36,16.61,46.24,10.33
600809.SH,山西汾酒,长期,25.6,9.22,75.07,31.98
600885.SH,宏发股份,,21.53,15.05,39.85,26.33
600887.SH,伊利股份,长期,24.92,22.29,37.94,40.82
601155.SH,新城控股,,30.08,19.24,36.69,79.54
601318.SH,中国平安,长期,18.04,12.9,,89.37
603043.SH,广州酒家,,21.02,18.56,54.66,19.35
603180.SH,金牌厨柜,,21.88,15.96,39.14,45.68
603288.SH,海天味业,长期,33.15,30.3,46.47,23.89
603360.SH,百傲化学,,23.4,17.49,60.92,11.07
603369.SH,今世缘,,20.17,17.44,74.61,20.95
603387.SH,基蛋生物,,21.38,17.6,82.12,9.39
603444.SH,吉比特,,29.83,27.07,92.24,21.16
603568.SH,伟明环保,,23.96,18.26,66.06,38.76
603589.SH,口子窖,,22.52,17.9,75.17,25.22
603605.SH,珀莱雅,,20.52,18.22,66.46,30.52
603638.SH,艾迪精密,,21.72,17.83,43.47,14.1
603707.SH,健友股份,,21.5,18.67,58.96,23.84
603833.SH,欧派家居,,22.46,19.2,38.38,32.01
603848.SH,好太太,,20.09,16.97,49.52,19.87
603866.SH,桃李面包,,20.08,15.63,39.68,10.51
603868.SH,飞科电器,,30.38,21.82,47.03,25.97
603899.SH,晨光股份,长期,25.35,21.45,26.55,23.08
