,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,PE_TTM,距离买点,距离卖点,三年估值范围,五年估值范围,七年估值范围,数据修正
0,002841.SZ,视源股份,,20211015,76.4,1.3118,28.4407,-15.0%,54.67%,33.48~50.12,33.5~51.82,33.5~51.82,
1,300482.SZ,万孚生物,,20211015,40.46,0.9486,24.3004,-12.33%,30.33%,25.16~67.94,28.57~82.47,30.45~87.79,
2,002032.SZ,苏泊尔,,20211015,48.1,2.6958,19.0177,-10.67%,50.67%,24.52~38.8,22.28~36.82,18.13~35.95,
3,601318.SH,中国平安,长期,20211015,50.88,2.7338,7.0238,-10.0%,46.33%,8.01~13.27,7.78~15.74,7.79~16.29,
4,603515.SH,欧普照明,,20211015,21.36,2.3173,16.2485,-7.67%,41.0%,19.09~30.47,17.43~44.91,16.88~46.88,
5,600612.SH,老凤祥,,20211015,49.2,2.5407,13.6392,-4.67%,62.0%,14.19~20.85,14.7~21.22,14.3~23.7,
6,603387.SH,基蛋生物,,20211015,18.57,1.3789,17.7955,-2.0%,44.67%,19.4~32.48,17.49~44.39,17.49~44.39,
7,300701.SZ,森霸传感,,20211015,16.87,1.9759,20.7957,-1.33%,36.67%,21.76~48.84,20.88~60.06,20.88~60.06,
8,603866.SH,桃李面包,,20211015,27.62,2.5861,34.3556,0.67%,68.33%,33.64~49.0,34.48~49.12,34.2~51.42,
9,300529.SZ,健帆生物,,20211015,54.69,1.2054,41.7664,2.0%,46.0%,44.41~86.73,40.4~89.8,38.62~94.42,
10,603811.SH,诚意药业,,20211015,13.14,1.9026,17.0438,4.67%,42.67%,18.67~31.13,15.28~45.1,15.28~45.1,
11,000661.SZ,长春高新,长期,20211015,288.17,0.2776,31.8638,7.33%,43.0%,30.09~80.07,29.52~72.16,28.82~68.4,
12,603043.SH,广州酒家,,20211015,21.42,1.3339,24.7409,8.67%,60.0%,22.84~41.98,22.51~40.29,22.51~40.29,
13,000538.SZ,云南白药,长期,20211015,94.54,4.0549,24.8618,8.67%,74.0%,22.59~32.45,23.45~34.21,22.6~33.54,
14,300653.SZ,正海生物,,20211015,53.94,0.4635,44.8233,11.0%,58.67%,39.32~76.12,40.46~75.1,40.46~75.1,
15,600276.SH,恒瑞医药,长期,20211015,50.05,0.333,50.5511,11.33%,55.67%,54.46~93.6,46.63~90.55,37.83~86.51,
16,000049.SZ,德赛电池,,20211015,33.44,2.0626,13.134,17.67%,38.33%,12.93~24.55,9.27~39.07,11.74~43.9,
17,002508.SZ,老板电器,,20211015,33.81,1.4755,17.4495,18.67%,60.33%,14.49~24.69,14.02~30.38,15.52~31.92,
