,证券代码,证券简称,跟踪时间,日期,收盘价,PE_TTM,距离买点,距离卖点,三年估值范围,五年估值范围,七年估值范围,数据修正
0,002841.SZ,视源股份,,20230131,63.0,21.349,-10.0%,41.67%,21.56~47.1,24.8~52.82,25.9~52.36,
1,300628.SZ,亿联网络,,20230131,61.18,25.3158,-6.0%,45.0%,30.75~58.69,25.09~54.53,25.64~54.12,
2,603387.SH,基蛋生物,,20230131,12.99,10.6073,-3.33%,27.33%,10.34~33.4,11.35~38.95,11.29~43.05,
3,300529.SZ,健帆生物,,20230131,33.73,22.5684,-2.67%,25.0%,18.94~90.28,26.55~83.29,26.11~92.61,
4,002507.SZ,涪陵榨菜,长期,20230131,26.64,25.2959,-2.67%,49.67%,27.51~53.15,24.89~50.25,25.73~48.27,
5,603338.SH,浙江鼎力,,20230131,54.58,26.8048,8.67%,44.33%,21.99~62.79,24.56~57.94,27.95~58.63,
6,600036.SH,招商银行,长期,20230131,41.21,7.5306,9.0%,57.67%,6.62~13.68,7.26~12.94,6.75~12.51,
7,300638.SZ,广和通,,20230131,20.89,36.2545,11.33%,46.67%,30.09~72.91,32.9~77.6,34.62~79.76,
8,000848.SZ,承德露露,,20230131,8.92,16.2808,12.0%,66.67%,13.59~23.73,14.53~23.61,15.39~25.07,
9,300662.SZ,科锐国际,,20230131,50.11,35.0034,13.0%,54.0%,28.91~65.31,31.73~62.49,32.33~65.45,
10,000895.SZ,双汇发展,长期,20230131,25.5,16.1257,13.67%,60.0%,14.95~28.51,13.85~26.47,13.59~25.19,
11,002032.SZ,苏泊尔,,20230131,51.67,20.769,14.0%,56.0%,16.37~37.19,19.34~37.56,18.94~35.7,
12,600887.SH,伊利股份,长期,20230131,32.58,23.6337,16.0%,68.0%,20.88~35.96,21.2~34.08,19.02~33.52,
13,603360.SH,百傲化学,,20230131,17.07,10.3673,16.0%,36.67%,10.97~20.05,8.88~31.32,7.55~38.53,
14,000333.SZ,美的集团,长期,20230131,55.2,13.053,19.0%,55.33%,10.81~24.57,11.44~23.28,10.61~22.73,
15,603568.SH,伟明环保,,20230131,19.44,20.7721,19.0%,58.0%,19.25~31.47,19.66~31.1,14.23~49.05,
16,300653.SZ,正海生物,,20230131,48.66,44.3569,21.0%,60.33%,34.61~74.93,37.03~72.67,37.93~72.57,
17,603589.SH,口子窖,,20230131,55.7,18.7916,23.0%,60.67%,14.47~30.51,14.98~29.82,16.33~32.01,
18,600612.SH,老凤祥,,20230131,48.2,14.5394,23.33%,71.33%,10.82~19.12,11.88~20.4,12.73~21.63,
19,002236.SZ,大华股份,,20230131,12.65,14.3573,23.33%,57.33%,12.52~20.3,11.21~24.83,11.13~31.25,
20,300482.SZ,万孚生物,,20230131,31.83,11.3458,24.0%,15.0%,5.2~68.86,13.27~67.27,16.78~82.58,
21,002884.SZ,凌霄泵业,,20230131,17.18,13.0612,24.67%,57.33%,12.0~22.06,10.1~21.62,9.5~24.54,
