证券简称,ts_code,trade_date,close,pe_ttm,ps_ttm,dv_ttm,total_share,total_mv
诚意药业,603811.SH,20230210,14.78,22.26,5.3452,1.6915,23378.88,345539.8464
诚意药业,603811.SH,20230209,14.72,22.1696,5.3235,1.6984,23378.88,344137.1136
诚意药业,603811.SH,20230208,14.63,22.034,5.2909,1.7088,23378.88,342033.0144
诚意药业,603811.SH,20230207,14.68,22.1093,5.309,1.703,23378.88,343201.9584
诚意药业,603811.SH,20230206,14.8,22.2901,5.3524,1.6892,23378.88,346007.424
诚意药业,603811.SH,20230203,15.02,22.6214,5.432,1.6644,23378.88,351150.7776
诚意药业,603811.SH,20230202,15.06,22.6817,5.4464,1.66,23378.88,352085.9328
诚意药业,603811.SH,20230201,15.14,22.8021,5.4753,1.6513,23378.88,353956.2432
诚意药业,603811.SH,20230131,15.05,22.6666,5.4428,1.6611,23378.88,351852.144
诚意药业,603811.SH,20230130,15.13,22.7871,5.4717,1.6523,23378.88,353722.4544
诚意药业,603811.SH,20230120,15.11,22.757,5.4645,1.6545,23378.88,353254.8768
诚意药业,603811.SH,20230119,15.01,22.6064,5.4283,1.6656,23378.88,350916.9888
诚意药业,603811.SH,20230118,14.89,22.4256,5.3849,1.679,23378.88,348111.5232
诚意药业,603811.SH,20230117,14.83,22.3353,5.3632,1.6858,23378.88,346708.7904
诚意药业,603811.SH,20230116,15.01,22.6064,5.4283,1.6656,23378.88,350916.9888
诚意药业,603811.SH,20230113,15.06,22.6817,5.4464,1.66,23378.88,352085.9328
诚意药业,603811.SH,20230112,14.71,22.1545,5.3198,1.6995,23378.88,343903.3248
诚意药业,603811.SH,20230111,14.94,22.5009,5.403,1.6734,23378.88,349280.4672
诚意药业,603811.SH,20230110,14.92,22.4708,5.3958,1.6756,23378.88,348812.8896
诚意药业,603811.SH,20230109,14.73,22.1846,5.3271,1.6972,23378.88,344370.9024
诚意药业,603811.SH,20230106,14.3,21.537,5.1716,1.7483,23378.88,334317.984
诚意药业,603811.SH,20230105,14.23,21.4316,5.1463,1.7569,23378.88,332681.4624
诚意药业,603811.SH,20230104,14.27,21.4918,5.1607,1.7519,23378.88,333616.6176
诚意药业,603811.SH,20230103,14.32,21.5672,5.1788,1.7458,23378.88,334785.5616
诚意药业,603811.SH,20221230,13.99,21.0701,5.0595,1.787,23378.88,327070.5312
诚意药业,603811.SH,20221229,14.19,21.3714,5.1318,1.7618,23378.88,331746.3072
诚意药业,603811.SH,20221228,14.07,21.1906,5.0884,1.7768,23378.88,328940.8416
诚意药业,603811.SH,20221227,14.16,21.3262,5.1209,1.7655,23378.88,331044.9408
诚意药业,603811.SH,20221226,14.8,22.2901,5.3524,1.6892,23378.88,346007.424
诚意药业,603811.SH,20221223,15.25,22.9678,5.5151,1.6393,23378.88,356527.92
诚意药业,603811.SH,20221222,15.18,22.8624,5.4898,1.6469,23378.88,354891.3984
诚意药业,603811.SH,20221221,15.84,23.8564,5.7285,1.5783,23378.88,370321.4592
诚意药业,603811.SH,20221220,16.04,24.1576,5.8008,1.5586,23378.88,374997.2352
诚意药业,603811.SH,20221219,16.82,25.3324,6.0829,1.4863,23378.88,393232.7616
诚意药业,603811.SH,20221216,18.05,27.1849,6.5277,1.385,23378.88,421988.784
诚意药业,603811.SH,20221215,17.91,26.974,6.4771,1.3959,23378.88,418715.7408
诚意药业,603811.SH,20221214,16.28,24.5191,5.8876,1.5356,23378.88,380608.1664
诚意药业,603811.SH,20221213,17.72,26.6878,6.4084,1.4108,23378.88,414273.7536
