证券代码,证券简称,日期,PE_TTM,PE_TTM_三年估值下限比例,PE_TTM_五年估值下限比例,PE_TTM_十年估值下限比例,三年估值范围,三年理想收益,五年估值范围,五年理想收益,十年估值范围,十年理想收益,三年PE_TTM均值,三年PE_TTM标准差,五年PE_TTM均值,五年PE_TTM标准差,十年PE_TTM均值,十年PE_TTM标准差
603288.SH,海天味业,2023-01-11,55.85,-1%,16%,54%,56.75~90.33,116%,48.08~81.9,131%,36.14~75.4,183%,73.54,16.79,64.99,16.91,55.77,19.63
002415.SZ,海康威视,2023-01-11,18.34,-9%,-12%,-13%,20.37~36.85,146%,21.02~36.02,133%,21.25~36.07,130%,28.61,8.24,28.52,7.5,28.66,7.41
600519.SH,贵州茅台,2023-01-11,41.57,8%,39%,150%,38.42~53.5,89%,29.79~49.05,123%,16.57~43.53,257%,45.96,7.54,39.42,9.63,30.05,13.48
300529.SZ,健帆生物,2023-01-11,21.25,-40%,-46%,-47%,35.86~83.9,218%,39.48~77.26,166%,40.12~75.94,157%,59.88,24.02,58.37,18.89,58.03,17.91
300628.SZ,亿联网络,2023-01-11,31.09,-20%,-2%,-2%,38.99~54.51,90%,32.02~50.58,114%,32.02~50.58,114%,46.75,7.76,41.3,9.28,41.3,9.28
000895.SZ,双汇发展,2023-01-11,17.95,0%,12%,15%,18.01~27.15,105%,15.97~24.85,111%,15.58~24.54,114%,22.58,4.57,20.41,4.44,20.06,4.48
000333.SZ,美的集团,2023-01-11,13.02,-4%,-4%,10%,13.63~22.65,126%,13.67~21.37,112%,11.73~20.21,134%,18.14,4.51,17.52,3.85,15.97,4.24
600887.SH,伊利股份,2023-01-11,22.11,-7%,-6%,5%,23.87~34.55,96%,23.59~32.73,88%,21.05~31.85,105%,29.21,5.34,28.16,4.57,26.45,5.4
000651.SZ,格力电器,2023-01-11,8.21,-1%,-3%,6%,8.35~19.45,216%,8.47~17.45,180%,7.74~15.68,175%,13.9,5.55,12.96,4.49,11.71,3.97
300595.SZ,欧普康视,2023-01-11,56.61,-15%,15%,15%,67.21~142.45,188%,48.99~123.83,243%,48.99~123.83,243%,104.83,37.62,86.41,37.42,86.41,37.42
603899.SH,晨光股份,2023-01-11,34.92,3%,4%,10%,33.61~61.25,147%,33.57~56.03,126%,31.7~53.24,128%,47.43,13.82,44.8,11.23,42.47,10.77
