,证券代码,证券简称,跟踪时间,日期,收盘价,PE_TTM,距离买点,距离卖点,三年估值范围,五年估值范围,七年估值范围,数据修正
0,002841.SZ,视源股份,,20230203,63.4,21.4845,-9.67%,42.0%,21.44~47.1,24.71~52.85,25.83~52.37,
1,300628.SZ,亿联网络,,20230203,62.92,26.0358,-3.33%,46.33%,30.54~58.72,25.1~54.52,25.59~54.11,
2,002507.SZ,涪陵榨菜,长期,20230203,26.82,25.4668,-1.67%,49.67%,27.46~53.18,24.85~50.23,25.7~48.26,
3,300529.SZ,健帆生物,,20230203,34.1,22.8159,-1.0%,25.33%,18.65~90.23,26.41~83.33,25.99~92.59,
4,603387.SH,基蛋生物,,20230203,13.22,10.7951,-0.67%,28.0%,10.24~33.38,11.26~38.9,11.23~43.03,
5,600036.SH,招商银行,长期,20230203,39.3,7.1815,4.67%,54.67%,6.6~13.68,7.25~12.93,6.74~12.5,
6,300662.SZ,科锐国际,,20230203,49.79,34.7799,12.0%,53.67%,28.85~65.31,31.68~62.48,32.29~65.43,
7,000848.SZ,承德露露,,20230203,8.95,16.3355,12.67%,67.33%,13.6~23.72,14.52~23.6,15.38~25.06,
8,603338.SH,浙江鼎力,,20230203,56.5,27.7477,13.0%,46.0%,21.89~62.77,24.49~57.93,27.9~58.62,
9,600887.SH,伊利股份,长期,20230203,32.03,23.2347,14.0%,67.0%,20.86~35.96,21.17~34.07,19.02~33.52,
10,000895.SZ,双汇发展,长期,20230203,25.5,16.1257,14.0%,60.0%,14.92~28.52,13.84~26.46,13.59~25.17,
11,300638.SZ,广和通,,20230203,21.4,37.1396,14.33%,47.67%,29.97~72.87,32.82~77.6,34.55~79.73,
12,000333.SZ,美的集团,长期,20230203,53.31,12.6061,14.67%,53.33%,10.79~24.57,11.42~23.26,10.6~22.72,
13,603360.SH,百傲化学,,20230203,17.04,10.3491,16.33%,36.67%,10.92~20.0,8.82~31.3,7.51~38.51,
14,002032.SZ,苏泊尔,,20230203,52.96,21.2875,17.33%,57.33%,16.33~37.15,19.3~37.56,18.93~35.69,
15,603568.SH,伟明环保,,20230203,19.53,20.8682,20.0%,58.33%,19.21~31.45,19.65~31.07,14.21~49.03,
16,600612.SH,老凤祥,,20230203,47.1,14.2076,20.33%,69.33%,10.82~19.1,11.87~20.39,12.73~21.63,
17,002884.SZ,凌霄泵业,,20230203,17.28,13.1372,25.67%,57.33%,12.03~22.05,10.09~21.59,9.5~24.52,
18,002236.SZ,大华股份,,20230203,13.05,14.8113,27.33%,59.67%,12.51~20.25,11.23~24.73,11.12~31.24,
19,603515.SH,欧普照明,,20230203,16.68,15.9249,28.33%,44.67%,12.3~29.22,12.82~35.24,12.0~45.2,
20,603043.SH,广州酒家,,20230203,25.58,24.8838,29.0%,62.0%,18.08~41.46,19.56~38.96,20.14~38.9,
21,600885.SH,宏发股份,,20230203,36.84,31.7442,29.33%,61.0%,29.95~55.23,22.3~51.8,22.51~48.71,
22,002867.SZ,周大生,,20230203,14.76,14.073,29.67%,55.67%,10.33~23.05,11.48~24.48,10.69~28.61,
23,300482.SZ,万孚生物,,20230203,32.62,11.6274,30.67%,15.67%,4.98~68.7,13.1~67.2,16.65~82.57,
24,603589.SH,口子窖,,20230203,59.08,19.9319,30.67%,64.33%,14.52~30.5,14.97~29.79,16.33~32.01,
25,600298.SH,安琪酵母,长期,20230203,41.77,30.5615,31.67%,72.67%,24.24~43.02,22.24~40.56,23.03~41.89,
26,603866.SH,桃李面包,,20230203,17.13,35.2423,32.67%,69.67%,23.69~49.53,27.17~50.01,28.99~51.17,
27,600600.SH,青岛啤酒,长期,20230203,104.09,37.255,33.0%,63.33%,31.58~61.26,29.38~57.6,23.86~56.42,
28,002833.SZ,弘亚数控,,20230203,15.01,13.3922,34.0%,38.67%,9.44~32.68,10.68~31.42,9.84~39.02,
29,300653.SZ,正海生物,,20230203,50.02,49.413,35.0%,67.0%,34.57~74.91,37.06~72.66,37.93~72.55,
