,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,PE_TTM,距离买点,距离卖点,三年估值范围,五年估值范围,七年估值范围,数据修正
0,002841.SZ,视源股份,,20230208,63.18,1.354,21.41,-9.67%,41.67%,21.32~47.1,24.62~52.86,25.75~52.37,
1,002507.SZ,涪陵榨菜,长期,20230208,25.91,1.3508,24.6027,-4.67%,48.0%,27.37~53.21,24.8~50.22,25.65~48.27,
2,300628.SZ,亿联网络,,20230208,61.77,1.2961,25.5599,-4.67%,45.33%,30.33~58.73,25.09~54.53,25.54~54.1,
3,300529.SZ,健帆生物,,20230208,33.38,2.6593,22.3342,-2.0%,24.67%,18.35~90.17,26.27~83.37,25.86~92.58,
4,603387.SH,基蛋生物,,20230208,13.3,1.826,10.8604,1.0%,28.0%,10.14~33.36,11.19~38.85,11.16~43.02,
5,600036.SH,招商银行,长期,20230208,38.49,3.9543,7.0335,2.67%,53.67%,6.58~13.68,7.23~12.93,6.74~12.5,
6,000848.SZ,承德露露,,20230208,8.72,,15.9157,9.67%,65.67%,13.6~23.72,14.5~23.58,15.37~25.07,
7,300662.SZ,科锐国际,,20230208,48.54,0.4265,33.9067,9.67%,52.0%,28.78~65.32,31.61~62.49,32.24~65.42,
8,000333.SZ,美的集团,长期,20230208,51.01,3.2716,12.0622,10.0%,51.0%,10.75~24.57,11.39~23.25,10.6~22.72,
9,600887.SH,伊利股份,长期,20230208,31.26,3.0714,22.6761,11.33%,65.33%,20.82~35.96,21.15~34.05,19.03~33.51,
10,300638.SZ,广和通,,20230208,20.83,0.6296,36.1503,11.67%,46.67%,29.84~72.78,32.73~77.59,34.49~79.71,
11,000895.SZ,双汇发展,长期,20230208,25.08,7.5678,15.8601,12.0%,59.0%,14.88~28.52,13.82~26.46,13.59~25.17,
12,603338.SH,浙江鼎力,,20230208,58.22,0.584,28.5924,16.67%,47.33%,21.78~62.74,24.43~57.93,27.85~58.59,
13,002032.SZ,苏泊尔,,20230208,52.78,6.0161,21.2152,17.33%,57.33%,16.28~37.12,19.28~37.56,18.93~35.69,
14,600612.SH,老凤祥,,20230208,46.73,3.1029,14.096,19.33%,69.0%,10.8~19.08,11.85~20.37,12.72~21.62,
15,603360.SH,百傲化学,,20230208,17.73,,10.7681,21.67%,38.0%,10.89~19.95,8.77~31.29,7.47~38.49,
16,603568.SH,伟明环保,,20230208,19.94,0.5015,21.3063,22.67%,59.33%,19.18~31.4,19.63~31.03,14.22~48.9,
17,603589.SH,口子窖,,20230208,56.93,2.6211,19.2065,25.67%,62.0%,14.55~30.51,14.95~29.77,16.31~31.99,
18,002884.SZ,凌霄泵业,,20230208,17.36,5.7604,13.198,25.67%,57.67%,12.03~22.05,10.08~21.56,9.5~24.52,
19,603043.SH,广州酒家,,20230208,25.17,1.586,24.4849,27.0%,61.0%,18.07~41.45,19.56~38.96,20.14~38.88,
20,600885.SH,宏发股份,,20230208,36.37,0.8425,31.3392,27.67%,60.0%,29.88~55.24,22.3~51.8,22.53~48.71,
21,603866.SH,桃李面包,,20230208,16.5,2.5974,33.9461,28.0%,67.0%,23.67~49.51,27.16~50.0,28.98~51.14,
22,002236.SZ,大华股份,,20230208,13.18,2.0225,14.9589,28.33%,60.33%,12.51~20.21,11.26~24.62,11.11~31.21,
23,600600.SH,青岛啤酒,长期,20230208,100.73,1.0922,36.0524,28.33%,61.0%,31.63~61.25,29.34~57.58,23.89~56.41,
24,002867.SZ,周大生,,20230208,14.66,3.3786,13.9776,28.67%,55.0%,10.32~23.06,11.47~24.45,10.68~28.6,
25,603515.SH,欧普照明,,20230208,16.76,2.9234,16.0013,29.33%,44.67%,12.27~29.21,12.79~35.15,11.96~45.18,
26,600298.SH,安琪酵母,长期,20230208,41.04,1.1675,30.0274,29.33%,71.33%,24.26~43.02,22.24~40.56,23.05~41.81,
27,300653.SZ,正海生物,,20230208,48.67,1.2054,48.0794,31.33%,65.33%,34.53~74.87,37.1~72.66,37.92~72.52,
28,002833.SZ,弘亚数控,,20230208,14.93,2.4878,13.3208,33.33%,38.67%,9.39~32.67,10.66~31.34,9.8~39.0,
29,601318.SH,中国平安,长期,20230208,48.5,4.9102,9.1929,34.67%,68.33%,6.51~11.87,6.98~13.52,6.94~14.96,
30,300450.SZ,先导智能,,20230208,46.46,1.0745,32.3951,37.67%,29.67%,32.23~116.35,18.36~102.66,23.59~101.57,
31,603833.SH,欧派家居,,20230208,123.02,1.4225,29.4729,38.0%,65.33%,22.15~43.49,20.55~43.75,21.25~46.87,
32,002415.SZ,海康威视,,20230208,36.9,2.4571,23.5454,38.33%,58.67%,16.28~40.54,17.42~39.32,17.25~39.81,
33,603811.SH,诚意药业,,20230208,14.63,1.7088,22.034,38.33%,63.0%,16.85~30.63,17.38~32.6,13.83~42.57,
34,000651.SZ,格力电器,长期,20230208,34.29,8.6017,7.5069,38.67%,37.33%,4.63~21.37,5.54~19.4,6.29~18.81,
35,600085.SH,同仁堂,长期,20230208,45.28,0.6405,47.3959,39.33%,90.33%,35.42~52.68,32.24~51.52,34.29~51.59,
36,603899.SH,晨光股份,长期,20230208,54.23,1.1074,37.6269,42.0%,60.67%,25.85~66.91,27.4~61.14,25.96~57.34,
37,300482.SZ,万孚生物,,20230208,34.84,0.8574,12.4187,44.0%,17.0%,4.77~68.53,12.95~67.13,16.52~82.5,
38,000049.SZ,德赛电池,,20230208,48.8,1.5416,16.0878,45.0%,57.33%,12.67~24.65,12.83~23.67,8.72~39.44,
39,600519.SH,贵州茅台,长期,20230208,1784.0,2.4431,37.6055,46.67%,68.67%,34.02~57.08,25.16~54.32,20.72~51.78,
40,002508.SZ,老板电器,,20230208,28.83,1.7253,22.3755,47.33%,84.33%,16.65~24.81,14.55~24.73,14.35~30.39,
41,601155.SH,新城控股,,20230208,20.06,,4.4964,47.67%,45.67%,3.61~7.01,2.78~10.64,2.83~14.15,
42,603288.SH,海天味业,长期,20230208,77.3,0.8938,54.0247,51.33%,60.33%,46.85~95.57,39.56~87.86,26.6~83.92,
43,000538.SZ,云南白药,长期,20230208,56.04,2.0386,37.8844,62.0%,101.67%,23.83~38.11,23.13~36.85,22.88~36.34,
44,002304.SZ,洋河股份,,20230208,168.8,1.7766,27.157,62.67%,70.0%,20.18~41.6,15.91~38.45,14.74~36.12,
45,603848.SH,好太太,,20230208,13.21,1.8925,20.8451,63.0%,67.33%,15.56~23.64,12.89~33.97,10.65~38.73,
46,300015.SZ,爱尔眼科,长期,20230208,32.02,0.2823,85.8425,64.67%,53.33%,65.07~176.39,54.56~158.18,41.53~146.97,
47,603886.SH,元祖股份,,20230208,19.73,5.0684,15.4782,69.33%,65.33%,11.52~18.26,11.25~22.61,6.52~34.9,
48,603369.SH,今世缘,,20230208,60.0,0.9773,31.2092,71.0%,73.67%,21.78~45.6,17.7~42.16,16.06~39.36,
49,002271.SZ,东方雨虹,,20230208,34.96,0.8547,27.6728,71.33%,70.33%,20.73~41.45,14.21~38.91,14.79~36.99,
50,603868.SH,飞科电器,,20230208,68.28,1.4646,33.8023,72.0%,79.67%,22.6~42.84,17.5~40.16,19.35~43.77,
51,000661.SZ,长春高新,长期,20230208,199.62,0.3983,19.8263,72.33%,26.0%,7.11~79.57,14.92~74.6,18.52~69.56,
52,603605.SH,珀莱雅,,20230208,162.56,0.3751,65.1768,74.0%,74.33%,60.05~86.61,33.03~87.69,30.01~87.43,
53,000858.SZ,五粮液,长期,20230208,199.55,1.5149,29.7468,75.0%,57.67%,20.99~55.75,16.86~50.6,14.24~47.3,
54,300357.SZ,我武生物,,20230208,53.49,0.3758,71.6986,78.67%,58.67%,55.74~131.84,41.7~120.88,30.17~112.19,
