证券简称,ts_code,trade_date,close,pe_ttm,ps_ttm,dv_ttm,total_share,total_mv
科锐国际,300662.SZ,20230120,51.34,35.8626,1.1684,0.4032,19683.7115,1010561.7484
科锐国际,300662.SZ,20230119,52.1,36.3935,1.1857,0.3973,19683.7115,1025521.3692
科锐国际,300662.SZ,20230118,51.06,35.667,1.1621,0.4054,19683.7115,1005050.3092
科锐国际,300662.SZ,20230117,52.1,36.3935,1.1857,0.3973,19683.7115,1025521.3692
科锐国际,300662.SZ,20230116,52.82,36.8965,1.2021,0.3919,19683.7115,1039693.6414
科锐国际,300662.SZ,20230113,54.39,37.9932,1.2379,0.3806,19683.7115,1070597.0685
科锐国际,300662.SZ,20230112,53.73,37.5321,1.2228,0.3853,19683.7115,1057605.8189
科锐国际,300662.SZ,20230111,53.51,37.3784,1.2178,0.3868,19683.7115,1053275.4024
科锐国际,300662.SZ,20230110,52.22,36.4773,1.1885,0.3964,19683.7115,1027883.4145
科锐国际,300662.SZ,20230109,50.64,35.3737,1.1525,0.4088,19683.7115,996783.1504
科锐国际,300662.SZ,20230106,51.9,36.2538,1.1812,0.3988,19683.7115,1021584.6269
科锐国际,300662.SZ,20230105,52.16,36.4354,1.1871,0.3969,19683.7115,1026702.3918
科锐国际,300662.SZ,20230104,51.3,35.8347,1.1675,0.4035,19683.7115,1009774.4
科锐国际,300662.SZ,20230103,49.37,34.4865,1.1236,0.4193,19683.7115,971784.8368
科锐国际,300662.SZ,20221230,49.0,34.2281,1.1152,0.4224,19683.7115,964501.8635
科锐国际,300662.SZ,20221229,49.19,34.3608,1.1195,0.4208,19683.7115,968241.7687
科锐国际,300662.SZ,20221228,48.26,33.7112,1.0983,0.4289,19683.7115,949935.917
科锐国际,300662.SZ,20221227,49.46,34.5494,1.1257,0.4185,19683.7115,973556.3708
科锐国际,300662.SZ,20221226,48.48,33.8648,1.1033,0.427,19683.7115,954266.3335
科锐国际,300662.SZ,20221223,49.64,34.6751,1.1297,0.417,19683.7115,977099.4389
科锐国际,300662.SZ,20221222,49.2,34.3678,1.1197,0.4207,19683.7115,968438.6058
科锐国际,300662.SZ,20221221,48.0,33.5295,1.0924,0.4313,19683.7115,944818.152
科锐国际,300662.SZ,20221220,47.83,33.4108,1.0886,0.4328,19683.7115,941471.921
科锐国际,300662.SZ,20221219,48.44,33.8369,1.1024,0.4273,19683.7115,953478.9851
科锐国际,300662.SZ,20221216,48.8,34.0884,1.1106,0.4242,19683.7115,960565.1212
