证券简称,ts_code,trade_date,close,pe_ttm,ps_ttm,dv_ttm,total_share,total_mv
快克股份,603203.SH,20230208,34.78,32.361,9.8569,2.8579,24964.8907,868278.8985
快克股份,603203.SH,20230207,35.95,33.4497,10.1884,2.7649,24964.8907,897487.8207
快克股份,603203.SH,20230206,34.91,32.482,9.8937,2.8473,24964.8907,871524.3343
快克股份,603203.SH,20230203,35.24,32.789,9.9872,2.8206,24964.8907,879762.7483
快克股份,603203.SH,20230202,33.72,31.3748,9.5564,2.9478,24964.8907,841816.1144
快克股份,603203.SH,20230201,32.73,30.4536,9.2759,3.0369,24964.8907,817100.8726
快克股份,603203.SH,20230131,32.19,29.9512,9.1228,3.0879,24964.8907,803619.8316
快克股份,603203.SH,20230130,32.53,30.2675,9.2192,3.0556,24964.8907,812107.8945
快克股份,603203.SH,20230120,32.49,30.2303,9.2079,3.0594,24964.8907,811109.2988
快克股份,603203.SH,20230119,32.64,30.3699,9.2504,3.0453,24964.8907,814854.0324
快克股份,603203.SH,20230118,31.15,28.9835,8.8281,3.191,24964.8907,777656.3453
快克股份,603203.SH,20230117,31.17,29.0021,8.8338,3.1889,24964.8907,778155.6431
快克股份,603203.SH,20230116,31.0,28.8439,8.7856,3.2064,24964.8907,773911.6117
快克股份,603203.SH,20230113,30.98,28.8253,8.7799,3.2085,24964.8907,773412.3139
快克股份,603203.SH,20230112,30.95,28.7974,8.7714,3.2116,24964.8907,772663.3672
快克股份,603203.SH,20230111,31.0,28.8439,8.7856,3.2064,24964.8907,773911.6117
快克股份,603203.SH,20230110,31.24,29.0672,8.8536,3.1818,24964.8907,779903.1855
快克股份,603203.SH,20230109,29.61,27.5506,8.3916,3.3569,24964.8907,739210.4136
快克股份,603203.SH,20230106,29.88,27.8018,8.4682,3.3266,24964.8907,745950.9341
快克股份,603203.SH,20230105,29.34,27.2994,8.3151,3.3878,24964.8907,732469.8931
快克股份,603203.SH,20230104,29.34,27.2994,8.3151,3.3878,24964.8907,732469.8931
快克股份,603203.SH,20230103,29.47,27.4203,8.352,3.3729,24964.8907,735715.3289
快克股份,603203.SH,20221230,29.49,27.4389,8.3576,3.3706,24964.8907,736214.6267
快克股份,603203.SH,20221229,28.3,26.3317,8.0204,3.5123,24964.8907,706506.4068
快克股份,603203.SH,20221228,27.02,25.1407,7.6576,3.6787,24964.8907,674551.3467
快克股份,603203.SH,20221227,27.49,25.5781,7.7908,3.6158,24964.8907,686284.8453
快克股份,603203.SH,20221226,27.62,25.699,7.8277,3.5988,24964.8907,689530.2811
快克股份,603203.SH,20221223,26.27,24.4429,7.4451,3.7837,24964.8907,655827.6787
快克股份,603203.SH,20221222,26.96,25.0849,7.6406,3.6869,24964.8907,673053.4533
