,code,name,date,market_value,pe_ttm,price
0,sh600887,伊利股份,1997-01-02,14.49,43.4,0.32
1,sh600887,伊利股份,1997-01-03,14.55,43.57,0.32
2,sh600887,伊利股份,1997-01-06,14.3,42.82,0.31
3,sh600887,伊利股份,1997-01-07,14.49,43.39,0.32
4,sh600887,伊利股份,1997-01-08,14.49,43.39,0.32
5,sh600887,伊利股份,1997-01-09,14.55,43.57,0.32
6,sh600887,伊利股份,1997-01-10,14.5,43.42,0.32
7,sh600887,伊利股份,1997-01-13,14.5,43.42,0.32
8,sh600887,伊利股份,1997-01-14,14.29,42.79,0.31
9,sh600887,伊利股份,1997-01-15,14.23,42.61,0.31
10,sh600887,伊利股份,1997-01-16,14.54,43.54,0.32
11,sh600887,伊利股份,1997-01-17,14.32,42.88,0.31
12,sh600887,伊利股份,1997-01-20,14.25,42.67,0.31
13,sh600887,伊利股份,1997-01-21,14.27,42.73,0.31
14,sh600887,伊利股份,1997-01-22,14.27,42.73,0.31
15,sh600887,伊利股份,1997-01-23,14.23,42.61,0.31
16,sh600887,伊利股份,1997-01-24,14.45,43.27,0.31
17,sh600887,伊利股份,1997-01-27,14.59,43.69,0.32
18,sh600887,伊利股份,1997-01-28,14.42,43.18,0.31
19,sh600887,伊利股份,1997-01-29,14.55,43.57,0.32
20,sh600887,伊利股份,1997-01-30,14.55,43.57,0.32
21,sh600887,伊利股份,1997-01-31,14.52,43.48,0.32
22,sh600887,伊利股份,1997-02-17,15.05,45.07,0.33
23,sh600887,伊利股份,1997-02-18,14.15,42.37,0.31
24,sh600887,伊利股份,1997-02-19,14.79,44.29,0.32
25,sh600887,伊利股份,1997-02-20,14.39,43.09,0.31
26,sh600887,伊利股份,1997-02-21,14.61,43.75,0.32
27,sh600887,伊利股份,1997-02-24,14.5,43.42,0.32
28,sh600887,伊利股份,1997-02-25,14.56,43.6,0.32
29,sh600887,伊利股份,1997-02-26,15.61,46.75,0.34
30,sh600887,伊利股份,1997-02-27,15.41,46.15,0.34
31,sh600887,伊利股份,1997-02-28,15.5,46.42,0.34
32,sh600887,伊利股份,1997-03-03,15.95,47.77,0.35
33,sh600887,伊利股份,1997-03-04,16.14,48.34,0.35
34,sh600887,伊利股份,1997-03-05,16.0,47.92,0.35
35,sh600887,伊利股份,1997-03-06,15.95,47.77,0.35
36,sh600887,伊利股份,1997-03-07,15.95,47.77,0.35
37,sh600887,伊利股份,1997-03-10,16.45,49.28,0.36
38,sh600887,伊利股份,1997-03-11,16.52,49.49,0.36
39,sh600887,伊利股份,1997-03-12,16.25,48.68,0.35
40,sh600887,伊利股份,1997-03-13,15.83,47.41,0.34
41,sh600887,伊利股份,1997-03-14,16.15,48.37,0.35
42,sh600887,伊利股份,1997-03-17,16.14,48.34,0.35
43,sh600887,伊利股份,1997-03-18,16.25,48.68,0.35
44,sh600887,伊利股份,1997-03-19,16.1,48.22,0.35
45,sh600887,伊利股份,1997-03-20,16.15,48.37,0.35
46,sh600887,伊利股份,1997-03-21,16.4,49.13,0.36
47,sh600887,伊利股份,1997-03-24,17.36,51.98,0.38
48,sh600887,伊利股份,1997-03-25,17.06,51.08,0.37
49,sh600887,伊利股份,1997-03-26,16.96,50.78,0.37
50,sh600887,伊利股份,1997-03-27,16.82,50.39,0.37
51,sh600887,伊利股份,1997-03-28,16.65,49.88,0.36
52,sh600887,伊利股份,1997-03-31,16.75,50.18,0.36
53,sh600887,伊利股份,1997-04-01,16.85,50.48,0.37
54,sh600887,伊利股份,1997-04-02,16.75,50.18,0.36
55,sh600887,伊利股份,1997-04-03,17.16,51.38,0.37
56,sh600887,伊利股份,1997-04-04,17.02,50.96,0.37
57,sh600887,伊利股份,1997-04-07,18.03,53.99,0.39
58,sh600887,伊利股份,1997-04-08,18.44,55.23,0.4
59,sh600887,伊利股份,1997-04-09,18.54,55.53,0.4
60,sh600887,伊利股份,1997-04-10,17.96,53.78,0.39
61,sh600887,伊利股份,1997-04-11,17.65,52.85,0.38
62,sh600887,伊利股份,1997-04-14,17.51,52.43,0.38
63,sh600887,伊利股份,1997-04-15,17.71,53.03,0.39
64,sh600887,伊利股份,1997-04-16,17.54,52.52,0.38
65,sh600887,伊利股份,1997-04-17,17.44,52.22,0.38
66,sh600887,伊利股份,1997-04-18,17.91,53.63,0.39
67,sh600887,伊利股份,1997-04-21,18.26,54.68,0.4
68,sh600887,伊利股份,1997-04-22,18.1,54.2,0.39
69,sh600887,伊利股份,1997-04-23,18.58,55.65,0.4
70,sh600887,伊利股份,1997-04-24,18.26,54.68,0.4
71,sh600887,伊利股份,1997-04-25,18.36,54.98,0.4
72,sh600887,伊利股份,1997-04-28,19.74,59.13,0.43
73,sh600887,伊利股份,1997-04-29,18.96,56.79,0.41
74,sh600887,伊利股份,1997-04-30,19.21,57.54,0.42
75,sh600887,伊利股份,1997-05-05,19.74,59.13,0.43
76,sh600887,伊利股份,1997-05-06,21.72,65.05,0.47
77,sh600887,伊利股份,1997-05-07,22.87,68.51,0.5
78,sh600887,伊利股份,1997-05-08,21.07,63.1,0.46
79,sh600887,伊利股份,1997-05-09,22.02,65.95,0.48
80,sh600887,伊利股份,1997-05-12,22.52,67.45,0.49
81,sh600887,伊利股份,1997-05-13,22.2,66.49,0.48
82,sh600887,伊利股份,1997-05-14,21.07,63.1,0.46
83,sh600887,伊利股份,1997-05-15,22.17,66.4,0.48
84,sh600887,伊利股份,1997-05-16,20.17,60.39,0.44
85,sh600887,伊利股份,1997-05-19,20.26,60.66,0.44
86,sh600887,伊利股份,1997-05-20,21.22,63.55,0.46
87,sh600887,伊利股份,1997-05-21,20.57,61.59,0.45
88,sh600887,伊利股份,1997-05-22,19.05,57.06,0.41
89,sh600887,伊利股份,1997-05-23,19.61,58.74,0.43
90,sh600887,伊利股份,1997-05-26,20.17,60.39,0.44
91,sh600887,伊利股份,1997-05-27,20.77,62.2,0.45
92,sh600887,伊利股份,1997-05-28,20.88,62.53,0.45
93,sh600887,伊利股份,1997-05-29,20.82,62.35,0.45
94,sh600887,伊利股份,1997-05-30,21.57,64.6,0.47
95,sh600887,伊利股份,1997-06-02,22.4,67.09,0.49
96,sh600887,伊利股份,1997-06-03,21.77,65.2,0.47
97,sh600887,伊利股份,1997-06-04,21.77,65.2,0.47
98,sh600887,伊利股份,1997-06-05,22.07,66.1,0.48
99,sh600887,伊利股份,1997-06-06,21.17,63.4,0.46
100,sh600887,伊利股份,1997-06-09,21.13,63.28,0.46
101,sh600887,伊利股份,1997-06-10,20.47,61.29,0.45
102,sh600887,伊利股份,1997-06-11,20.77,62.2,0.45
103,sh600887,伊利股份,1997-06-12,20.82,62.35,0.46
104,sh600887,伊利股份,1997-06-13,21.57,64.6,0.47
105,sh600887,伊利股份,1997-06-16,22.79,68.27,0.5
106,sh600887,伊利股份,1997-06-17,22.66,67.87,0.5
107,sh600887,伊利股份,1997-06-18,22.37,67.0,0.49
108,sh600887,伊利股份,1997-06-19,22.05,66.04,0.48
109,sh600887,伊利股份,1997-06-20,23.28,69.71,0.51
110,sh600887,伊利股份,1997-06-23,23.73,71.06,0.52
111,sh600887,伊利股份,1997-06-24,24.28,72.71,0.53
112,sh600887,伊利股份,1997-06-25,24.27,72.68,0.53
113,sh600887,伊利股份,1997-06-26,23.73,71.06,0.52
114,sh600887,伊利股份,1997-06-27,20.86,62.47,0.62
115,sh600887,伊利股份,1997-07-02,20.37,39.74,0.6
116,sh600887,伊利股份,1997-07-03,20.02,39.06,0.59
117,sh600887,伊利股份,1997-07-04,20.18,39.37,0.6
118,sh600887,伊利股份,1997-07-07,19.21,37.49,0.57
119,sh600887,伊利股份,1997-07-08,19.44,37.94,0.58
120,sh600887,伊利股份,1997-07-09,19.46,37.98,0.58
121,sh600887,伊利股份,1997-07-10,19.51,38.08,0.58
122,sh600887,伊利股份,1997-07-11,20.25,39.51,0.6
123,sh600887,伊利股份,1997-07-14,20.62,40.23,0.61
124,sh600887,伊利股份,1997-07-15,20.57,40.13,0.61
125,sh600887,伊利股份,1997-07-16,20.73,40.45,0.61
126,sh600887,伊利股份,1997-07-17,21.02,41.01,0.62
127,sh600887,伊利股份,1997-07-18,21.95,42.83,0.65
128,sh600887,伊利股份,1997-07-21,21.48,41.91,0.64
129,sh600887,伊利股份,1997-07-22,21.82,42.58,0.65
130,sh600887,伊利股份,1997-07-23,21.37,41.7,0.63
131,sh600887,伊利股份,1997-07-24,20.92,40.82,0.62
132,sh600887,伊利股份,1997-07-25,21.57,42.09,0.64
133,sh600887,伊利股份,1997-07-28,20.02,39.06,0.59
134,sh600887,伊利股份,1997-07-29,20.12,39.25,0.6
135,sh600887,伊利股份,1997-07-30,20.54,40.07,0.61
136,sh600887,伊利股份,1997-07-31,20.57,40.13,0.61
137,sh600887,伊利股份,1997-08-01,20.15,39.31,0.6
138,sh600887,伊利股份,1997-08-04,19.56,38.17,0.58
139,sh600887,伊利股份,1997-08-05,20.05,39.11,0.59
140,sh600887,伊利股份,1997-08-06,20.06,39.13,0.59
141,sh600887,伊利股份,1997-08-07,19.89,38.82,0.59
142,sh600887,伊利股份,1997-08-08,20.04,39.09,0.59
143,sh600887,伊利股份,1997-08-11,19.31,37.68,0.57
144,sh600887,伊利股份,1997-08-12,18.16,35.43,0.54
145,sh600887,伊利股份,1997-08-13,18.46,36.02,0.55
146,sh600887,伊利股份,1997-08-14,18.96,37.0,0.56
147,sh600887,伊利股份,1997-08-15,18.41,35.92,0.55
148,sh600887,伊利股份,1997-08-18,18.41,35.92,0.55
149,sh600887,伊利股份,1997-08-19,18.46,36.02,0.55
150,sh600887,伊利股份,1997-08-20,19.87,38.78,0.59
151,sh600887,伊利股份,1997-08-21,25.79,50.31,0.59
152,sh600887,伊利股份,1997-08-22,25.82,50.39,0.59
153,sh600887,伊利股份,1997-08-25,26.48,51.66,0.6
154,sh600887,伊利股份,1997-08-26,26.82,52.32,0.61
155,sh600887,伊利股份,1997-08-27,26.48,51.66,0.6
156,sh600887,伊利股份,1997-08-28,26.15,51.03,0.6
157,sh600887,伊利股份,1997-08-29,25.86,50.47,0.59
158,sh600887,伊利股份,1997-09-01,25.3,49.37,0.58
159,sh600887,伊利股份,1997-09-02,25.82,50.39,0.59
160,sh600887,伊利股份,1997-09-03,26.16,51.05,0.6
161,sh600887,伊利股份,1997-09-04,26.08,50.9,0.59
162,sh600887,伊利股份,1997-09-05,25.82,50.39,0.59
163,sh600887,伊利股份,1997-09-08,25.58,49.91,0.58
164,sh600887,伊利股份,1997-09-09,25.52,49.8,0.58
165,sh600887,伊利股份,1997-09-10,25.43,49.63,0.58
166,sh600887,伊利股份,1997-09-11,26.02,50.77,0.59
167,sh600887,伊利股份,1997-09-12,25.5,49.75,0.58
168,sh600887,伊利股份,1997-09-15,25.28,49.32,0.58
169,sh600887,伊利股份,1997-09-16,26.08,50.9,0.59
170,sh600887,伊利股份,1997-09-17,26.15,51.03,0.6
171,sh600887,伊利股份,1997-09-18,26.74,52.17,0.61
172,sh600887,伊利股份,1997-09-19,27.61,53.88,0.63
173,sh600887,伊利股份,1997-09-22,26.53,51.76,0.6
174,sh600887,伊利股份,1997-09-23,24.74,48.28,0.56
175,sh600887,伊利股份,1997-09-24,26.06,50.85,0.59
