,code,name,date,market_value,pe_ttm,price
0,sz000049,德赛电池,1997-01-02,6.79,638.22,1.59
1,sz000049,德赛电池,1997-01-03,6.69,629.07,1.56
2,sz000049,德赛电池,1997-01-06,6.02,566.16,1.41
3,sz000049,德赛电池,1997-01-07,6.28,590.76,1.47
4,sz000049,德赛电池,1997-01-08,6.17,579.89,1.44
5,sz000049,德赛电池,1997-01-09,6.51,612.49,1.52
6,sz000049,德赛电池,1997-01-10,6.44,605.62,1.51
7,sz000049,德赛电池,1997-01-13,6.63,623.35,1.55
8,sz000049,德赛电池,1997-01-14,6.34,596.47,1.48
9,sz000049,德赛电池,1997-01-15,6.3,592.47,1.47
10,sz000049,德赛电池,1997-01-16,6.42,603.34,1.5
11,sz000049,德赛电池,1997-01-17,6.36,598.19,1.49
12,sz000049,德赛电池,1997-01-20,6.32,594.76,1.48
13,sz000049,德赛电池,1997-01-21,6.26,589.04,1.46
14,sz000049,德赛电池,1997-01-22,6.33,595.33,1.48
15,sz000049,德赛电池,1997-01-23,6.39,600.48,1.49
16,sz000049,德赛电池,1997-01-24,6.46,607.34,1.51
17,sz000049,德赛电池,1997-01-27,6.49,610.2,1.52
18,sz000049,德赛电池,1997-01-28,6.42,603.34,1.5
19,sz000049,德赛电池,1997-01-29,6.45,606.2,1.51
20,sz000049,德赛电池,1997-01-30,6.5,611.34,1.52
21,sz000049,德赛电池,1997-01-31,6.53,613.63,1.53
22,sz000049,德赛电池,1997-02-17,6.68,627.93,1.56
23,sz000049,德赛电池,1997-02-18,6.01,565.02,1.4
24,sz000049,德赛电池,1997-02-19,6.36,598.19,1.49
25,sz000049,德赛电池,1997-02-20,6.14,577.03,1.43
26,sz000049,德赛电池,1997-02-21,6.34,596.47,1.48
27,sz000049,德赛电池,1997-02-24,6.35,597.62,1.49
28,sz000049,德赛电池,1997-02-25,6.63,623.92,1.55
29,sz000049,德赛电池,1997-02-26,7.01,659.38,1.64
30,sz000049,德赛电池,1997-02-27,7.13,670.25,1.67
31,sz000049,德赛电池,1997-02-28,7.49,704.56,1.75
32,sz000049,德赛电池,1997-03-03,8.02,753.74,1.87
33,sz000049,德赛电池,1997-03-04,7.92,744.59,1.85
34,sz000049,德赛电池,1997-03-05,8.42,792.06,1.97
35,sz000049,德赛电池,1997-03-06,8.49,798.35,1.98
36,sz000049,德赛电池,1997-03-07,8.38,788.05,1.96
37,sz000049,德赛电池,1997-03-10,5.7,535.85,2.0
38,sz000049,德赛电池,1997-03-11,5.95,559.3,2.09
39,sz000049,德赛电池,1997-03-12,8.74,821.8,2.04
40,sz000049,德赛电池,1997-03-13,8.52,801.21,1.99
41,sz000049,德赛电池,1997-03-14,8.66,814.08,2.02
42,sz000049,德赛电池,1997-03-17,8.57,805.5,2.0
43,sz000049,德赛电池,1997-03-18,8.53,802.07,1.99
44,sz000049,德赛电池,1997-03-19,8.41,790.91,1.97
45,sz000049,德赛电池,1997-03-20,8.42,791.77,1.97
46,sz000049,德赛电池,1997-03-21,8.5,799.49,1.99
47,sz000049,德赛电池,1997-03-24,9.18,862.97,2.14
48,sz000049,德赛电池,1997-03-25,8.96,842.38,2.09
49,sz000049,德赛电池,1997-03-26,8.99,844.96,2.1
50,sz000049,德赛电池,1997-03-27,9.23,868.12,2.16
51,sz000049,德赛电池,1997-03-28,9.2,865.55,2.15
52,sz000049,德赛电池,1997-03-31,9.92,933.31,2.32
53,sz000049,德赛电池,1997-04-01,10.03,942.75,2.34
54,sz000049,德赛电池,1997-04-02,10.12,951.33,2.36
55,sz000049,德赛电池,1997-04-03,9.93,934.17,2.32
56,sz000049,德赛电池,1997-04-04,9.98,938.46,2.33
57,sz000049,德赛电池,1997-04-07,9.76,917.87,2.28
58,sz000049,德赛电池,1997-04-08,9.49,892.14,2.22
59,sz000049,德赛电池,1997-04-09,9.51,894.71,2.22
60,sz000049,德赛电池,1997-04-10,9.49,892.14,2.22
61,sz000049,德赛电池,1997-04-11,9.26,870.69,2.16
62,sz000049,德赛电池,1997-04-14,9.32,876.7,2.18
63,sz000049,德赛电池,1997-04-15,9.67,909.29,2.26
64,sz000049,德赛电池,1997-04-16,9.76,917.87,2.28
65,sz000049,德赛电池,1997-04-17,9.58,900.72,2.24
66,sz000049,德赛电池,1997-04-18,9.56,899.0,2.23
67,sz000049,德赛电池,1997-04-21,9.53,896.43,2.23
68,sz000049,德赛电池,1997-04-22,9.44,887.85,2.21
69,sz000049,德赛电池,1997-04-23,9.62,905.0,2.25
70,sz000049,德赛电池,1997-04-24,10.23,961.62,2.39
71,sz000049,德赛电池,1997-04-25,10.23,962.48,2.39
72,sz000049,德赛电池,1997-04-28,9.79,920.45,2.29
73,sz000049,德赛电池,1997-04-29,9.67,909.29,2.26
74,sz000049,德赛电池,1997-04-30,9.84,925.59,2.3
75,sz000049,德赛电池,1997-05-05,10.02,941.89,2.34
76,sz000049,德赛电池,1997-05-06,10.31,969.34,2.41
77,sz000049,德赛电池,1997-05-07,10.47,984.78,2.45
78,sz000049,德赛电池,1997-05-08,10.03,943.61,2.35
79,sz000049,德赛电池,1997-05-09,10.29,967.63,2.41
80,sz000049,德赛电池,1997-05-12,11.32,1064.56,2.65
81,sz000049,德赛电池,1997-05-13,11.29,1061.99,2.64
82,sz000049,德赛电池,1997-05-14,10.9,1025.1,2.55
83,sz000049,德赛电池,1997-05-15,11.63,1093.73,2.72
84,sz000049,德赛电池,1997-05-16,10.47,984.78,2.45
85,sz000049,德赛电池,1997-05-19,10.95,1029.39,2.56
86,sz000049,德赛电池,1997-05-20,11.15,1048.26,2.61
87,sz000049,德赛电池,1997-05-21,10.51,988.21,2.46
88,sz000049,德赛电池,1997-05-22,9.46,889.56,2.21
89,sz000049,德赛电池,1997-05-23,9.11,856.97,2.13
90,sz000049,德赛电池,1997-05-26,8.77,824.37,2.05
91,sz000049,德赛电池,1997-05-27,9.64,906.72,2.25
92,sz000049,德赛电池,1997-05-28,9.6,902.43,2.24
93,sz000049,德赛电池,1997-05-29,10.55,992.5,2.47
94,sz000049,德赛电池,1997-05-30,10.55,992.5,2.47
95,sz000049,德赛电池,1997-06-02,11.56,1086.86,2.7
96,sz000049,德赛电池,1997-06-03,11.9,1118.6,2.78
97,sz000049,德赛电池,1997-06-04,11.63,1093.73,2.72
98,sz000049,德赛电池,1997-06-05,11.98,1126.32,2.8
99,sz000049,德赛电池,1997-06-06,11.16,1049.12,2.61
100,sz000049,德赛电池,1997-06-09,11.72,1102.3,2.74
101,sz000049,德赛电池,1997-06-10,11.13,1046.55,2.6
102,sz000049,德赛电池,1997-06-11,10.76,1012.23,2.52
103,sz000049,德赛电池,1997-06-12,10.63,999.37,2.48
104,sz000049,德赛电池,1997-06-13,11.07,1041.4,2.59
105,sz000049,德赛电池,1997-06-16,11.28,1061.13,2.64
106,sz000049,德赛电池,1997-06-17,11.4,1072.28,2.67
107,sz000049,德赛电池,1997-06-18,11.38,1070.57,2.66
108,sz000049,德赛电池,1997-06-19,11.58,1088.58,2.71
109,sz000049,德赛电池,1997-06-20,12.45,1170.93,2.91
110,sz000049,德赛电池,1997-06-23,12.35,1161.49,2.89
111,sz000049,德赛电池,1997-06-24,12.59,1183.8,2.94
112,sz000049,德赛电池,1997-06-25,12.81,1204.39,2.99
113,sz000049,德赛电池,1997-06-26,13.11,1232.69,3.06
114,sz000049,德赛电池,1997-06-27,12.58,1182.94,2.94
115,sz000049,德赛电池,1997-07-02,11.86,435.57,2.77
116,sz000049,德赛电池,1997-07-03,11.9,437.25,2.78
117,sz000049,德赛电池,1997-07-04,12.21,448.64,2.86
118,sz000049,德赛电池,1997-07-07,11.04,405.42,2.58
119,sz000049,德赛电池,1997-07-08,11.51,422.84,2.69
120,sz000049,德赛电池,1997-07-09,11.69,429.21,2.73
121,sz000049,德赛电池,1997-07-10,11.4,418.82,2.67
122,sz000049,德赛电池,1997-07-11,11.73,430.88,2.74
123,sz000049,德赛电池,1997-07-14,12.91,474.11,3.02
124,sz000049,德赛电池,1997-07-15,13.33,489.52,3.12
125,sz000049,德赛电池,1997-07-16,13.66,501.58,3.19
126,sz000049,德赛电池,1997-07-17,13.98,513.64,3.27
127,sz000049,德赛电池,1997-07-18,14.15,519.67,3.31
128,sz000049,德赛电池,1997-07-21,13.64,500.91,3.19
129,sz000049,德赛电池,1997-07-22,14.6,536.09,3.41
130,sz000049,德赛电池,1997-07-23,14.32,526.04,3.35
131,sz000049,德赛电池,1997-07-24,13.94,511.97,3.26
132,sz000049,德赛电池,1997-07-25,14.09,517.66,3.29
133,sz000049,德赛电池,1997-07-28,13.45,493.87,3.14
134,sz000049,德赛电池,1997-07-29,13.23,485.83,3.09
135,sz000049,德赛电池,1997-07-30,13.96,512.64,3.26
136,sz000049,德赛电池,1997-07-31,13.95,512.3,3.26
137,sz000049,德赛电池,1997-08-01,14.12,518.67,3.3
138,sz000049,德赛电池,1997-08-04,13.92,511.3,3.25
139,sz000049,德赛电池,1997-08-05,14.45,530.73,3.38
140,sz000049,德赛电池,1997-08-06,13.95,512.3,3.26
141,sz000049,德赛电池,1997-08-07,13.85,508.62,3.24
142,sz000049,德赛电池,1997-08-08,13.63,500.57,3.19
143,sz000049,德赛电池,1997-08-11,12.27,450.65,2.87
144,sz000049,德赛电池,1997-08-12,11.05,405.75,2.58
145,sz000049,德赛电池,1997-08-13,9.94,365.21,2.32
146,sz000049,德赛电池,1997-08-14,10.29,377.94,2.41
147,sz000049,德赛电池,1997-08-15,9.26,340.08,2.16
148,sz000049,德赛电池,1997-08-18,9.16,336.4,2.14
149,sz000049,德赛电池,1997-08-19,8.76,321.65,2.05
150,sz000049,德赛电池,1997-08-20,8.52,312.94,1.99
151,sz000049,德赛电池,1997-08-21,9.31,342.09,2.18
152,sz000049,德赛电池,1997-08-22,9.3,341.42,2.17
153,sz000049,德赛电池,1997-08-25,8.8,323.33,2.06
154,sz000049,德赛电池,1997-08-26,8.63,316.96,2.02
155,sz000049,德赛电池,1997-08-27,9.35,343.43,2.19
156,sz000049,德赛电池,1997-08-28,9.12,335.06,2.13
157,sz000049,德赛电池,1997-08-29,9.0,330.7,2.1
158,sz000049,德赛电池,1997-09-01,9.04,332.04,2.11
159,sz000049,德赛电池,1997-09-02,8.96,329.03,2.09
160,sz000049,德赛电池,1997-09-03,8.98,329.7,2.1
161,sz000049,德赛电池,1997-09-04,9.4,345.11,2.2
162,sz000049,德赛电池,1997-09-05,9.23,339.08,2.16
163,sz000049,德赛电池,1997-09-08,9.09,334.05,2.13
164,sz000049,德赛电池,1997-09-09,8.88,326.01,2.07
165,sz000049,德赛电池,1997-09-10,9.01,331.04,2.11
166,sz000049,德赛电池,1997-09-11,8.8,323.33,2.06
167,sz000049,德赛电池,1997-09-12,8.48,311.6,1.98
168,sz000049,德赛电池,1997-09-15,7.95,291.83,1.86
169,sz000049,德赛电池,1997-09-16,7.94,291.5,1.86
170,sz000049,德赛电池,1997-09-17,7.8,286.47,1.82
171,sz000049,德赛电池,1997-09-18,7.98,293.17,1.87
172,sz000049,德赛电池,1997-09-19,7.95,292.17,1.86
173,sz000049,德赛电池,1997-09-22,7.21,264.69,1.68
174,sz000049,德赛电池,1997-09-23,6.5,238.9,1.52
175,sz000049,德赛电池,1997-09-24,6.88,252.63,1.61
176,sz000049,德赛电池,1997-09-25,7.16,263.02,1.67
177,sz000049,德赛电池,1997-09-26,7.41,272.07,1.73
178,sz000049,德赛电池,1997-09-29,7.1,260.67,1.66
179,sz000049,德赛电池,1997-09-30,7.34,269.72,1.72
180,sz000049,德赛电池,1997-10-06,7.22,265.36,1.69
181,sz000049,德赛电池,1997-10-07,7.14,262.35,1.67
182,sz000049,德赛电池,1997-10-08,7.39,271.4,1.73
183,sz000049,德赛电池,1997-10-09,7.53,276.42,1.76
184,sz000049,德赛电池,1997-10-10,7.52,276.09,1.76
185,sz000049,德赛电池,1997-10-13,7.43,272.74,1.74
186,sz000049,德赛电池,1997-10-14,7.38,271.06,1.72
187,sz000049,德赛电池,1997-10-15,7.48,274.75,1.75
188,sz000049,德赛电池,1997-10-16,7.65,281.11,1.79
189,sz000049,德赛电池,1997-10-17,8.07,296.53,1.89
190,sz000049,德赛电池,1997-10-20,8.34,306.24,1.95
191,sz000049,德赛电池,1997-10-21,8.29,304.57,1.94
192,sz000049,德赛电池,1997-10-22,7.89,289.82,1.84
193,sz000049,德赛电池,1997-10-23,8.66,317.97,2.02
194,sz000049,德赛电池,1997-10-24,8.99,330.03,2.1
195,sz000049,德赛电池,1997-10-27,9.5,348.79,2.22
196,sz000049,德赛电池,1997-10-28,8.86,325.34,2.07
197,sz000049,德赛电池,1997-10-29,9.21,338.41,2.15
198,sz000049,德赛电池,1997-10-30,8.93,328.02,2.09
199,sz000049,德赛电池,1997-10-31,9.54,350.47,2.23
200,sz000049,德赛电池,1997-11-03,10.29,377.94,2.41
201,sz000049,德赛电池,1997-11-04,10.11,371.24,2.36
202,sz000049,德赛电池,1997-11-05,10.38,381.29,2.43
203,sz000049,德赛电池,1997-11-06,10.05,369.23,2.35
204,sz000049,德赛电池,1997-11-07,10.08,370.24,2.36
205,sz000049,德赛电池,1997-11-10,9.66,354.83,2.26
206,sz000049,德赛电池,1997-11-11,9.62,353.48,2.25
207,sz000049,德赛电池,1997-11-12,9.25,339.75,2.16
208,sz000049,德赛电池,1997-11-13,9.45,347.12,2.21
209,sz000049,德赛电池,1997-11-14,9.26,340.08,2.16
210,sz000049,德赛电池,1997-11-17,9.29,341.09,2.17
211,sz000049,德赛电池,1997-11-18,9.1,334.39,2.13
212,sz000049,德赛电池,1997-11-19,9.0,330.7,2.1
213,sz000049,德赛电池,1997-11-20,8.76,321.65,2.05
214,sz000049,德赛电池,1997-11-21,8.46,310.6,1.98
215,sz000049,德赛电池,1997-11-24,7.84,288.15,1.83
216,sz000049,德赛电池,1997-11-25,8.14,298.87,1.9
217,sz000049,德赛电池,1997-11-26,8.27,303.9,1.93
218,sz000049,德赛电池,1997-11-27,7.99,293.51,1.87
219,sz000049,德赛电池,1997-11-28,8.21,301.55,1.92
220,sz000049,德赛电池,1997-12-01,7.94,291.5,1.86
221,sz000049,德赛电池,1997-12-02,8.05,295.86,1.88
222,sz000049,德赛电池,1997-12-03,7.87,289.15,1.84
223,sz000049,德赛电池,1997-12-04,8.08,296.86,1.89
224,sz000049,德赛电池,1997-12-05,8.17,300.21,1.91
225,sz000049,德赛电池,1997-12-08,8.09,297.2,1.89
226,sz000049,德赛电池,1997-12-09,8.38,307.92,1.96
227,sz000049,德赛电池,1997-12-10,8.34,306.24,1.95
228,sz000049,德赛电池,1997-12-11,8.19,300.88,1.91
229,sz000049,德赛电池,1997-12-12,8.12,298.2,1.9
230,sz000049,德赛电池,1997-12-15,8.02,294.51,1.87
231,sz000049,德赛电池,1997-12-16,8.1,297.53,1.89
232,sz000049,德赛电池,1997-12-17,7.8,286.47,1.82
233,sz000049,德赛电池,1997-12-18,7.66,281.45,1.79
234,sz000049,德赛电池,1997-12-19,7.48,274.75,1.75
235,sz000049,德赛电池,1997-12-22,7.25,266.37,1.7
236,sz000049,德赛电池,1997-12-23,7.41,272.07,1.73
237,sz000049,德赛电池,1997-12-24,7.44,273.41,1.74
238,sz000049,德赛电池,1997-12-25,7.39,271.4,1.73
239,sz000049,德赛电池,1997-12-26,7.52,276.09,1.76
240,sz000049,德赛电池,1997-12-29,7.95,292.17,1.86
241,sz000049,德赛电池,1997-12-30,8.28,304.23,1.94
242,sz000049,德赛电池,1997-12-31,8.31,305.24,1.94
243,sz000049,德赛电池,1998-01-05,8.76,-216.06,2.05
244,sz000049,德赛电池,1998-01-06,9.12,-225.06,2.13
245,sz000049,德赛电池,1998-01-07,9.14,-225.51,2.14
246,sz000049,德赛电池,1998-01-08,9.5,-234.29,2.22
247,sz000049,德赛电池,1998-01-09,9.24,-227.98,2.16
248,sz000049,德赛电池,1998-01-12,9.36,-230.91,2.19
249,sz000049,德赛电池,1998-01-13,9.59,-236.54,2.24
250,sz000049,德赛电池,1998-01-14,9.92,-244.86,2.32
251,sz000049,德赛电池,1998-01-15,10.3,-254.09,2.41
252,sz000049,德赛电池,1998-01-16,10.03,-247.56,2.35
253,sz000049,德赛电池,1998-01-19,9.94,-245.31,2.32
254,sz000049,德赛电池,1998-01-20,9.76,-240.81,2.28
255,sz000049,德赛电池,1998-01-21,9.59,-236.54,2.24
256,sz000049,德赛电池,1998-01-22,9.52,-234.96,2.23
