证券代码,证券简称,跟踪时间,平均ROE,最小ROE,最大负债率,最小毛利率
000049.SZ,德赛电池,,30.28,23.47,16.64,64.8
000333.SZ,美的集团,长期,25.72,22.55,28.86,56.51
000538.SZ,云南白药,长期,19.39,7.35,31.19,23.28
000651.SZ,格力电器,长期,29.86,19.68,36.1,58.14
000661.SZ,长春高新,长期,25.47,15.9,87.61,23.45
000848.SZ,承德露露,,27.05,20.6,52.62,27.62
000858.SZ,五粮液,长期,22.34,14.93,75.35,13.09
000895.SZ,双汇发展,长期,30.33,20.9,21.42,22.71
002032.SZ,苏泊尔,,23.94,16.17,31.15,31.56
002236.SZ,大华股份,,25.44,15.57,42.82,30.75
002271.SZ,东方雨虹,,21.94,16.17,42.63,32.66
002304.SZ,洋河股份,,26.36,18.54,75.32,28.58
002415.SZ,海康威视,,31.67,27.12,49.2,18.11
002507.SZ,涪陵榨菜,长期,18.53,12.12,58.61,7.51
002508.SZ,老板电器,,24.5,15.97,58.17,25.36
002833.SZ,弘亚数控,,32.87,22.26,40.13,12.57
002841.SZ,视源股份,,47.39,21.85,27.32,41.72
002867.SZ,周大生,,24.56,20.07,41.03,17.37
002884.SZ,凌霄泵业,,21.66,17.63,33.56,7.41
002901.SZ,大博医疗,,38.53,27.85,85.87,10.79
300015.SZ,爱尔眼科,长期,18.7,12.74,51.92,17.76
300357.SZ,我武生物,,25.58,20.42,96.43,3.34
300450.SZ,先导智能,,23.73,15.51,52.44,22.62
300482.SZ,万孚生物,,23.74,18.64,69.02,12.26
300529.SZ,健帆生物,,33.03,22.09,86.21,8.91
300571.SZ,平治信息,,32.02,22.16,56.22,15.67
300595.SZ,欧普康视,,30.11,19.75,79.61,8.62
300628.SZ,亿联网络,,46.6,26.64,66.02,4.92
300638.SZ,广和通,,24.46,15.86,28.53,36.55
300653.SZ,正海生物,,39.81,16.96,94.02,8.97
300662.SZ,科锐国际,,22.57,16.2,67.54,29.57
300701.SZ,森霸传感,,23.92,15.38,59.09,4.65
600036.SH,招商银行,长期,17.72,14.58,,90.64
600085.SH,同仁堂,长期,12.96,10.66,47.62,24.19
600276.SH,恒瑞医药,长期,22.0,13.83,87.93,7.64
600298.SH,安琪酵母,长期,15.66,5.3,37.64,42.74
600436.SH,片仔癀,长期,21.59,15.39,54.57,18.15
600519.SH,贵州茅台,长期,32.91,24.44,92.9,16.03
600600.SH,青岛啤酒,长期,11.16,6.37,41.53,42.62
600612.SH,老凤祥,,23.42,20.42,8.95,49.99
600690.SH,海尔智家,,23.0,15.48,31.23,57.34
600763.SH,通策医疗,,24.36,16.61,46.24,10.33
600809.SH,山西汾酒,长期,25.6,9.22,75.07,31.98
600885.SH,宏发股份,,21.53,15.05,39.85,26.33
600887.SH,伊利股份,长期,24.92,22.29,37.94,40.82
601155.SH,新城控股,,27.28,17.93,36.69,76.03
601318.SH,中国平安,长期,18.04,12.9,,89.37
603039.SH,ST泛微,,23.75,17.2,96.43,44.34
603043.SH,广州酒家,,28.24,18.56,54.66,19.35
603180.SH,金牌厨柜,,24.61,15.96,47.73,45.68
603198.SH,迎驾贡酒,,20.06,16.56,67.54,29.95
603203.SH,快克股份,,25.9,16.66,58.47,11.75
603288.SH,海天味业,长期,34.34,30.3,46.47,23.89
603338.SH,浙江鼎力,,23.19,17.22,43.85,15.73
603360.SH,百傲化学,,22.15,17.28,60.92,11.07
603369.SH,今世缘,,23.82,17.44,74.61,20.95
603387.SH,基蛋生物,,42.43,17.6,86.02,9.39
603444.SH,吉比特,,45.3,27.07,97.69,20.75
603515.SH,欧普照明,,24.13,15.59,40.9,35.77
603568.SH,伟明环保,,23.54,18.26,66.49,38.76
603589.SH,口子窖,,23.11,17.9,75.17,25.22
603605.SH,珀莱雅,,28.82,18.22,66.46,30.52
603639.SH,海利尔,,23.59,15.04,37.28,29.63
603801.SH,志邦家居,,26.15,15.28,38.94,32.76
603811.SH,诚意药业,,20.04,15.38,74.39,10.91
603833.SH,欧派家居,,27.88,19.2,38.38,32.01
603848.SH,好太太,,27.08,16.97,49.52,19.87
603866.SH,桃李面包,,23.49,15.63,39.68,10.51
603868.SH,飞科电器,,40.71,21.82,47.03,25.97
603886.SH,元祖股份,,23.92,16.58,66.33,37.63
603899.SH,晨光股份,长期,28.25,21.45,27.43,23.08
